,material,compatibility,chemical
0,,,Acetaldehyde
1,ABS plastic,D - Poor,Acetaldehyde
2,Acetal (Delrin®),A - Excellent,Acetaldehyde
3,Aluminum,B - Good,Acetaldehyde
4,Brass,A - Excellent,Acetaldehyde
5,Bronze,A - Excellent,Acetaldehyde
6,Buna N (Nitrile),D - Poor,Acetaldehyde
7,Carbon graphite,A - Excellent,Acetaldehyde
8,Carbon Steel,D - Poor,Acetaldehyde
9,Carpenter 20,N/A,Acetaldehyde
10,Cast iron,C - Fair,Acetaldehyde
11,Ceramic Al203,N/A,Acetaldehyde
12,Ceramic magnet,N/A,Acetaldehyde
13,ChemRaz (FFKM),D - Poor,Acetaldehyde
14,Copper,N/A,Acetaldehyde
15,CPVC,D - Poor,Acetaldehyde
16,EPDM,A - Excellent,Acetaldehyde
17,Epoxy,A - Excellent,Acetaldehyde
18,Fluorocarbon (FKM),D - Poor,Acetaldehyde
19,Hastelloy-C®,A - Excellent,Acetaldehyde
20,Hypalon®,C - Fair,Acetaldehyde
21,Hytrel®,N/A,Acetaldehyde
22,Kalrez,A - Excellent,Acetaldehyde
23,Kel-F®,A - Excellent,Acetaldehyde
24,LDPE,C - Fair,Acetaldehyde
25,Natural rubber,C - Fair,Acetaldehyde
26,Neoprene,C - Fair,Acetaldehyde
27,NORYL®,N/A,Acetaldehyde
28,Nylon,A - Excellent,Acetaldehyde
29,Polycarbonate,C1 - Fair,Acetaldehyde
30,Polyetherether Ketone (PEEK),A - Excellent,Acetaldehyde
31,Polypropylene,A1 - Excellent,Acetaldehyde
32,Polyurethane,D - Poor,Acetaldehyde
33,PPS (Ryton®),A - Excellent,Acetaldehyde
34,PTFE,A - Excellent,Acetaldehyde
35,PVC,D - Poor,Acetaldehyde
36,PVDF (Kynar®),D - Poor,Acetaldehyde
37,Silicone,A - Excellent,Acetaldehyde
38,stainless steel - 304,A - Excellent,Acetaldehyde
39,stainless steel - 316,A - Excellent,Acetaldehyde
40,Titanium,A - Excellent,Acetaldehyde
41,Tygon®,D - Poor,Acetaldehyde
42,Viton®,D - Poor,Acetaldehyde
