,material,compatibility,chemical
0,,,Acetamide
1,ABS plastic,N/A,Acetamide
2,Acetal (Delrin®),A - Excellent,Acetamide
3,Aluminum,A - Excellent,Acetamide
4,Brass,N/A,Acetamide
5,Bronze,D - Poor,Acetamide
6,Buna N (Nitrile),A - Excellent,Acetamide
7,Carbon graphite,A - Excellent,Acetamide
8,Carbon Steel,N/A,Acetamide
9,Carpenter 20,N/A,Acetamide
10,Cast iron,D - Poor,Acetamide
11,Ceramic Al203,N/A,Acetamide
12,Ceramic magnet,N/A,Acetamide
13,ChemRaz (FFKM),A - Excellent,Acetamide
14,Copper,N/A,Acetamide
15,CPVC,N/A,Acetamide
16,EPDM,A - Excellent,Acetamide
17,Epoxy,A - Excellent,Acetamide
18,Fluorocarbon (FKM),B - Good,Acetamide
19,Hastelloy-C®,N/A,Acetamide
20,Hypalon®,B - Good,Acetamide
21,Hytrel®,N/A,Acetamide
22,Kalrez,A - Excellent,Acetamide
23,Kel-F®,A - Excellent,Acetamide
24,LDPE,A - Excellent,Acetamide
25,Natural rubber,D - Poor,Acetamide
26,Neoprene,B - Good,Acetamide
27,NORYL®,N/A,Acetamide
28,Nylon,A - Excellent,Acetamide
29,Polycarbonate,D - Poor,Acetamide
30,Polyetherether Ketone (PEEK),N/A,Acetamide
31,Polypropylene,A1 - Excellent,Acetamide
32,Polyurethane,D - Poor,Acetamide
33,PPS (Ryton®),A - Excellent,Acetamide
34,PTFE,A - Excellent,Acetamide
35,PVC,D - Poor,Acetamide
36,PVDF (Kynar®),C - Fair,Acetamide
37,Silicone,B - Good,Acetamide
38,stainless steel - 304,B - Good,Acetamide
39,stainless steel - 316,A - Excellent,Acetamide
40,Titanium,N/A,Acetamide
41,Tygon®,D - Poor,Acetamide
42,Viton®,B - Good,Acetamide
