,material,compatibility,chemical
0,,,Acetate Solvent
1,ABS plastic,N/A,Acetate Solvent
2,Acetal (Delrin®),N/A,Acetate Solvent
3,Aluminum,A - Excellent,Acetate Solvent
4,Brass,A - Excellent,Acetate Solvent
5,Bronze,C - Fair,Acetate Solvent
6,Buna N (Nitrile),C - Fair,Acetate Solvent
7,Carbon graphite,A - Excellent,Acetate Solvent
8,Carbon Steel,D - Poor,Acetate Solvent
9,Carpenter 20,A - Excellent,Acetate Solvent
10,Cast iron,D - Poor,Acetate Solvent
11,Ceramic Al203,N/A,Acetate Solvent
12,Ceramic magnet,N/A,Acetate Solvent
13,ChemRaz (FFKM),N/A,Acetate Solvent
14,Copper,A - Excellent,Acetate Solvent
15,CPVC,C - Fair,Acetate Solvent
16,EPDM,A - Excellent,Acetate Solvent
17,Epoxy,A - Excellent,Acetate Solvent
18,Fluorocarbon (FKM),D - Poor,Acetate Solvent
19,Hastelloy-C®,A - Excellent,Acetate Solvent
20,Hypalon®,C - Fair,Acetate Solvent
21,Hytrel®,N/A,Acetate Solvent
22,Kalrez,C - Fair,Acetate Solvent
23,Kel-F®,A1 - Excellent,Acetate Solvent
24,LDPE,A - Excellent,Acetate Solvent
25,Natural rubber,C - Fair,Acetate Solvent
26,Neoprene,D - Poor,Acetate Solvent
27,NORYL®,D - Poor,Acetate Solvent
28,Nylon,A - Excellent,Acetate Solvent
29,Polycarbonate,N/A,Acetate Solvent
30,Polyetherether Ketone (PEEK),N/A,Acetate Solvent
31,Polypropylene,B1 - Good,Acetate Solvent
32,Polyurethane,D - Poor,Acetate Solvent
33,PPS (Ryton®),A - Excellent,Acetate Solvent
34,PTFE,A - Excellent,Acetate Solvent
35,PVC,D - Poor,Acetate Solvent
36,PVDF (Kynar®),A - Excellent,Acetate Solvent
37,Silicone,C - Fair,Acetate Solvent
38,stainless steel - 304,A - Excellent,Acetate Solvent
39,stainless steel - 316,A - Excellent,Acetate Solvent
40,Titanium,A - Excellent,Acetate Solvent
41,Tygon®,D - Poor,Acetate Solvent
42,Viton®,D - Poor,Acetate Solvent
