,material,compatibility,chemical
0,,,Acetic Acid 20%
1,ABS plastic,C - Fair,Acetic Acid 20%
2,Acetal (Delrin®),C - Fair,Acetic Acid 20%
3,Aluminum,B - Good,Acetic Acid 20%
4,Brass,D - Poor,Acetic Acid 20%
5,Bronze,C - Fair,Acetic Acid 20%
6,Buna N (Nitrile),B - Good,Acetic Acid 20%
7,Carbon graphite,A - Excellent,Acetic Acid 20%
8,Carbon Steel,D - Poor,Acetic Acid 20%
9,Carpenter 20,A - Excellent,Acetic Acid 20%
10,Cast iron,D - Poor,Acetic Acid 20%
11,Ceramic Al203,A - Excellent,Acetic Acid 20%
12,Ceramic magnet,A - Excellent,Acetic Acid 20%
13,ChemRaz (FFKM),A - Excellent,Acetic Acid 20%
14,Copper,B - Good,Acetic Acid 20%
15,CPVC,A - Excellent,Acetic Acid 20%
16,EPDM,A - Excellent,Acetic Acid 20%
17,Epoxy,A1 - Excellent,Acetic Acid 20%
18,Fluorocarbon (FKM),C - Fair,Acetic Acid 20%
19,Hastelloy-C®,A - Excellent,Acetic Acid 20%
20,Hypalon®,A - Excellent,Acetic Acid 20%
21,Hytrel®,N/A,Acetic Acid 20%
22,Kalrez,A - Excellent,Acetic Acid 20%
23,Kel-F®,A - Excellent,Acetic Acid 20%
24,LDPE,A - Excellent,Acetic Acid 20%
25,Natural rubber,B - Good,Acetic Acid 20%
26,Neoprene,A - Excellent,Acetic Acid 20%
27,NORYL®,A - Excellent,Acetic Acid 20%
28,Nylon,D - Poor,Acetic Acid 20%
29,Polycarbonate,A1 - Excellent,Acetic Acid 20%
30,Polyetherether Ketone (PEEK),A - Excellent,Acetic Acid 20%
31,Polypropylene,A - Excellent,Acetic Acid 20%
32,Polyurethane,D - Poor,Acetic Acid 20%
33,PPS (Ryton®),A - Excellent,Acetic Acid 20%
34,PTFE,A - Excellent,Acetic Acid 20%
35,PVC,D - Poor,Acetic Acid 20%
36,PVDF (Kynar®),A - Excellent,Acetic Acid 20%
37,Silicone,B - Good,Acetic Acid 20%
38,stainless steel - 304,B - Good,Acetic Acid 20%
39,stainless steel - 316,A - Excellent,Acetic Acid 20%
40,Titanium,A - Excellent,Acetic Acid 20%
41,Tygon®,D - Poor,Acetic Acid 20%
42,Viton®,B - Good,Acetic Acid 20%
