,material,compatibility,chemical
0,,,"Acetic Acid, Glacial"
1,ABS plastic,D - Poor,"Acetic Acid, Glacial"
2,Acetal (Delrin®),D - Poor,"Acetic Acid, Glacial"
3,Aluminum,B - Good,"Acetic Acid, Glacial"
4,Brass,N/A,"Acetic Acid, Glacial"
5,Bronze,C - Fair,"Acetic Acid, Glacial"
6,Buna N (Nitrile),C - Fair,"Acetic Acid, Glacial"
7,Carbon graphite,A - Excellent,"Acetic Acid, Glacial"
8,Carbon Steel,D - Poor,"Acetic Acid, Glacial"
9,Carpenter 20,A - Excellent,"Acetic Acid, Glacial"
10,Cast iron,D - Poor,"Acetic Acid, Glacial"
11,Ceramic Al203,A - Excellent,"Acetic Acid, Glacial"
12,Ceramic magnet,A - Excellent,"Acetic Acid, Glacial"
13,ChemRaz (FFKM),B - Good,"Acetic Acid, Glacial"
14,Copper,B - Good,"Acetic Acid, Glacial"
15,CPVC,B1 - Good,"Acetic Acid, Glacial"
16,EPDM,B - Good,"Acetic Acid, Glacial"
17,Epoxy,B1 - Good,"Acetic Acid, Glacial"
18,Fluorocarbon (FKM),D - Poor,"Acetic Acid, Glacial"
19,Hastelloy-C®,A - Excellent,"Acetic Acid, Glacial"
20,Hypalon®,C - Fair,"Acetic Acid, Glacial"
21,Hytrel®,A1 - Excellent,"Acetic Acid, Glacial"
22,Kalrez,C - Fair,"Acetic Acid, Glacial"
23,Kel-F®,A2 - Excellent,"Acetic Acid, Glacial"
24,LDPE,D - Poor,"Acetic Acid, Glacial"
25,Natural rubber,C - Fair,"Acetic Acid, Glacial"
26,Neoprene,D - Poor,"Acetic Acid, Glacial"
27,NORYL®,A - Excellent,"Acetic Acid, Glacial"
28,Nylon,B - Good,"Acetic Acid, Glacial"
29,Polycarbonate,B1 - Good,"Acetic Acid, Glacial"
30,Polyetherether Ketone (PEEK),N/A,"Acetic Acid, Glacial"
31,Polypropylene,A1 - Excellent,"Acetic Acid, Glacial"
32,Polyurethane,D - Poor,"Acetic Acid, Glacial"
33,PPS (Ryton®),A - Excellent,"Acetic Acid, Glacial"
34,PTFE,A - Excellent,"Acetic Acid, Glacial"
35,PVC,D - Poor,"Acetic Acid, Glacial"
36,PVDF (Kynar®),A1 - Excellent,"Acetic Acid, Glacial"
37,Silicone,B - Good,"Acetic Acid, Glacial"
38,stainless steel - 304,C - Fair,"Acetic Acid, Glacial"
39,stainless steel - 316,A - Excellent,"Acetic Acid, Glacial"
40,Titanium,A - Excellent,"Acetic Acid, Glacial"
41,Tygon®,D - Poor,"Acetic Acid, Glacial"
42,Viton®,D - Poor,"Acetic Acid, Glacial"
