,material,compatibility,chemical
0,,,Acetic Acid
1,ABS plastic,D - Poor,Acetic Acid
2,Acetal (Delrin®),D - Poor,Acetic Acid
3,Aluminum,B - Good,Acetic Acid
4,Brass,D - Poor,Acetic Acid
5,Bronze,C - Fair,Acetic Acid
6,Buna N (Nitrile),C - Fair,Acetic Acid
7,Carbon graphite,A - Excellent,Acetic Acid
8,Carbon Steel,D - Poor,Acetic Acid
9,Carpenter 20,A - Excellent,Acetic Acid
10,Cast iron,D - Poor,Acetic Acid
11,Ceramic Al203,A - Excellent,Acetic Acid
12,Ceramic magnet,N/A,Acetic Acid
13,ChemRaz (FFKM),N/A,Acetic Acid
14,Copper,B - Good,Acetic Acid
15,CPVC,C - Fair,Acetic Acid
16,EPDM,A - Excellent,Acetic Acid
17,Epoxy,C - Fair,Acetic Acid
18,Fluorocarbon (FKM),D - Poor,Acetic Acid
19,Hastelloy-C®,A - Excellent,Acetic Acid
20,Hypalon®,C - Fair,Acetic Acid
21,Hytrel®,N/A,Acetic Acid
22,Kalrez,C - Fair,Acetic Acid
23,Kel-F®,A - Excellent,Acetic Acid
24,LDPE,A2 - Excellent,Acetic Acid
25,Natural rubber,B - Good,Acetic Acid
26,Neoprene,C - Fair,Acetic Acid
27,NORYL®,A - Excellent,Acetic Acid
28,Nylon,D - Poor,Acetic Acid
29,Polycarbonate,B1 - Good,Acetic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Acetic Acid
31,Polypropylene,B - Good,Acetic Acid
32,Polyurethane,D - Poor,Acetic Acid
33,PPS (Ryton®),A - Excellent,Acetic Acid
34,PTFE,A - Excellent,Acetic Acid
35,PVC,D - Poor,Acetic Acid
36,PVDF (Kynar®),C - Fair,Acetic Acid
37,Silicone,C - Fair,Acetic Acid
38,stainless steel - 304,D - Poor,Acetic Acid
39,stainless steel - 316,B - Good,Acetic Acid
40,Titanium,A - Excellent,Acetic Acid
41,Tygon®,D - Poor,Acetic Acid
42,Viton®,B - Good,Acetic Acid
