,material,compatibility,chemical
0,,,Acetic Anhydride
1,ABS plastic,C1 - Fair,Acetic Anhydride
2,Acetal (Delrin®),D - Poor,Acetic Anhydride
3,Aluminum,A1 - Excellent,Acetic Anhydride
4,Brass,D - Poor,Acetic Anhydride
5,Bronze,C - Fair,Acetic Anhydride
6,Buna N (Nitrile),D - Poor,Acetic Anhydride
7,Carbon graphite,A - Excellent,Acetic Anhydride
8,Carbon Steel,D - Poor,Acetic Anhydride
9,Carpenter 20,B - Good,Acetic Anhydride
10,Cast iron,D - Poor,Acetic Anhydride
11,Ceramic Al203,A - Excellent,Acetic Anhydride
12,Ceramic magnet,N/A,Acetic Anhydride
13,ChemRaz (FFKM),B - Good,Acetic Anhydride
14,Copper,B - Good,Acetic Anhydride
15,CPVC,D - Poor,Acetic Anhydride
16,EPDM,B - Good,Acetic Anhydride
17,Epoxy,C - Fair,Acetic Anhydride
18,Fluorocarbon (FKM),D - Poor,Acetic Anhydride
19,Hastelloy-C®,A - Excellent,Acetic Anhydride
20,Hypalon®,A - Excellent,Acetic Anhydride
21,Hytrel®,C - Fair,Acetic Anhydride
22,Kalrez,A - Excellent,Acetic Anhydride
23,Kel-F®,A - Excellent,Acetic Anhydride
24,LDPE,D - Poor,Acetic Anhydride
25,Natural rubber,C - Fair,Acetic Anhydride
26,Neoprene,A - Excellent,Acetic Anhydride
27,NORYL®,D - Poor,Acetic Anhydride
28,Nylon,A1 - Excellent,Acetic Anhydride
29,Polycarbonate,D - Poor,Acetic Anhydride
30,Polyetherether Ketone (PEEK),N/A,Acetic Anhydride
31,Polypropylene,B1 - Good,Acetic Anhydride
32,Polyurethane,D - Poor,Acetic Anhydride
33,PPS (Ryton®),A - Excellent,Acetic Anhydride
34,PTFE,A - Excellent,Acetic Anhydride
35,PVC,D - Poor,Acetic Anhydride
36,PVDF (Kynar®),B1 - Good,Acetic Anhydride
37,Silicone,C - Fair,Acetic Anhydride
38,stainless steel - 304,B - Good,Acetic Anhydride
39,stainless steel - 316,A - Excellent,Acetic Anhydride
40,Titanium,A - Excellent,Acetic Anhydride
41,Tygon®,D - Poor,Acetic Anhydride
42,Viton®,D - Poor,Acetic Anhydride
