,material,compatibility,chemical
0,,,Acetyl Bromide
1,ABS plastic,D - Poor,Acetyl Bromide
2,Acetal (Delrin®),A - Excellent,Acetyl Bromide
3,Aluminum,A - Excellent,Acetyl Bromide
4,Brass,A - Excellent,Acetyl Bromide
5,Bronze,A - Excellent,Acetyl Bromide
6,Buna N (Nitrile),D - Poor,Acetyl Bromide
7,Carbon graphite,A - Excellent,Acetyl Bromide
8,Carbon Steel,B - Good,Acetyl Bromide
9,Carpenter 20,A - Excellent,Acetyl Bromide
10,Cast iron,A - Excellent,Acetyl Bromide
11,Ceramic Al203,A - Excellent,Acetyl Bromide
12,Ceramic magnet,N/A,Acetyl Bromide
13,ChemRaz (FFKM),A - Excellent,Acetyl Bromide
14,Copper,A - Excellent,Acetyl Bromide
15,CPVC,D - Poor,Acetyl Bromide
16,EPDM,A - Excellent,Acetyl Bromide
17,Epoxy,B1 - Good,Acetyl Bromide
18,Fluorocarbon (FKM),D - Poor,Acetyl Bromide
19,Hastelloy-C®,A - Excellent,Acetyl Bromide
20,Hypalon®,C - Fair,Acetyl Bromide
21,Hytrel®,B - Good,Acetyl Bromide
22,Kalrez,A - Excellent,Acetyl Bromide
23,Kel-F®,A - Excellent,Acetyl Bromide
24,LDPE,B1 - Good,Acetyl Bromide
25,Natural rubber,C - Fair,Acetyl Bromide
26,Neoprene,C - Fair,Acetyl Bromide
27,NORYL®,D - Poor,Acetyl Bromide
28,Nylon,A - Excellent,Acetyl Bromide
29,Polycarbonate,D - Poor,Acetyl Bromide
30,Polyetherether Ketone (PEEK),A - Excellent,Acetyl Bromide
31,Polypropylene,A - Excellent,Acetyl Bromide
32,Polyurethane,D - Poor,Acetyl Bromide
33,PPS (Ryton®),A - Excellent,Acetyl Bromide
34,PTFE,A - Excellent,Acetyl Bromide
35,PVC,D - Poor,Acetyl Bromide
36,PVDF (Kynar®),D - Poor,Acetyl Bromide
37,Silicone,D - Poor,Acetyl Bromide
38,stainless steel - 304,A - Excellent,Acetyl Bromide
39,stainless steel - 316,A - Excellent,Acetyl Bromide
40,Titanium,A - Excellent,Acetyl Bromide
41,Tygon®,D - Poor,Acetyl Bromide
42,Viton®,D - Poor,Acetyl Bromide
