,material,compatibility,chemical
0,,,Acetyl Chloride (dry)
1,ABS plastic,N/A,Acetyl Chloride (dry)
2,Acetal (Delrin®),N/A,Acetyl Chloride (dry)
3,Aluminum,N/A,Acetyl Chloride (dry)
4,Brass,N/A,Acetyl Chloride (dry)
5,Bronze,N/A,Acetyl Chloride (dry)
6,Buna N (Nitrile),N/A,Acetyl Chloride (dry)
7,Carbon graphite,N/A,Acetyl Chloride (dry)
8,Carbon Steel,N/A,Acetyl Chloride (dry)
9,Carpenter 20,N/A,Acetyl Chloride (dry)
10,Cast iron,N/A,Acetyl Chloride (dry)
11,Ceramic Al203,N/A,Acetyl Chloride (dry)
12,Ceramic magnet,N/A,Acetyl Chloride (dry)
13,ChemRaz (FFKM),N/A,Acetyl Chloride (dry)
14,Copper,N/A,Acetyl Chloride (dry)
15,CPVC,N/A,Acetyl Chloride (dry)
16,EPDM,N/A,Acetyl Chloride (dry)
17,Epoxy,N/A,Acetyl Chloride (dry)
18,Fluorocarbon (FKM),N/A,Acetyl Chloride (dry)
19,Hastelloy-C®,N/A,Acetyl Chloride (dry)
20,Hypalon®,N/A,Acetyl Chloride (dry)
21,Hytrel®,N/A,Acetyl Chloride (dry)
22,Kalrez,A - Excellent,Acetyl Chloride (dry)
23,Kel-F®,N/A,Acetyl Chloride (dry)
24,LDPE,D - Poor,Acetyl Chloride (dry)
25,Natural rubber,N/A,Acetyl Chloride (dry)
26,Neoprene,N/A,Acetyl Chloride (dry)
27,NORYL®,N/A,Acetyl Chloride (dry)
28,Nylon,D - Poor,Acetyl Chloride (dry)
29,Polycarbonate,N/A,Acetyl Chloride (dry)
30,Polyetherether Ketone (PEEK),N/A,Acetyl Chloride (dry)
31,Polypropylene,N/A,Acetyl Chloride (dry)
32,Polyurethane,D - Poor,Acetyl Chloride (dry)
33,PPS (Ryton®),N/A,Acetyl Chloride (dry)
34,PTFE,A - Excellent,Acetyl Chloride (dry)
35,PVC,D - Poor,Acetyl Chloride (dry)
36,PVDF (Kynar®),N/A,Acetyl Chloride (dry)
37,Silicone,N/A,Acetyl Chloride (dry)
38,stainless steel - 304,N/A,Acetyl Chloride (dry)
39,stainless steel - 316,N/A,Acetyl Chloride (dry)
40,Titanium,N/A,Acetyl Chloride (dry)
41,Tygon®,D - Poor,Acetyl Chloride (dry)
42,Viton®,N/A,Acetyl Chloride (dry)
