,material,compatibility,chemical
0,,,Acrylonitrile
1,ABS plastic,D - Poor,Acrylonitrile
2,Acetal (Delrin®),N/A,Acrylonitrile
3,Aluminum,B1 - Good,Acrylonitrile
4,Brass,A - Excellent,Acrylonitrile
5,Bronze,N/A,Acrylonitrile
6,Buna N (Nitrile),D - Poor,Acrylonitrile
7,Carbon graphite,B - Good,Acrylonitrile
8,Carbon Steel,A - Excellent,Acrylonitrile
9,Carpenter 20,A1 - Excellent,Acrylonitrile
10,Cast iron,A1 - Excellent,Acrylonitrile
11,Ceramic Al203,N/A,Acrylonitrile
12,Ceramic magnet,N/A,Acrylonitrile
13,ChemRaz (FFKM),A - Excellent,Acrylonitrile
14,Copper,A - Excellent,Acrylonitrile
15,CPVC,A - Excellent,Acrylonitrile
16,EPDM,D - Poor,Acrylonitrile
17,Epoxy,A - Excellent,Acrylonitrile
18,Fluorocarbon (FKM),D - Poor,Acrylonitrile
19,Hastelloy-C®,B - Good,Acrylonitrile
20,Hypalon®,C - Fair,Acrylonitrile
21,Hytrel®,N/A,Acrylonitrile
22,Kalrez,A - Excellent,Acrylonitrile
23,Kel-F®,N/A,Acrylonitrile
24,LDPE,A - Excellent,Acrylonitrile
25,Natural rubber,B1 - Good,Acrylonitrile
26,Neoprene,C - Fair,Acrylonitrile
27,NORYL®,N/A,Acrylonitrile
28,Nylon,A1 - Excellent,Acrylonitrile
29,Polycarbonate,D - Poor,Acrylonitrile
30,Polyetherether Ketone (PEEK),A - Excellent,Acrylonitrile
31,Polypropylene,A1 - Excellent,Acrylonitrile
32,Polyurethane,D - Poor,Acrylonitrile
33,PPS (Ryton®),N/A,Acrylonitrile
34,PTFE,A - Excellent,Acrylonitrile
35,PVC,B1 - Good,Acrylonitrile
36,PVDF (Kynar®),A1 - Excellent,Acrylonitrile
37,Silicone,D - Poor,Acrylonitrile
38,stainless steel - 304,A1 - Excellent,Acrylonitrile
39,stainless steel - 316,A1 - Excellent,Acrylonitrile
40,Titanium,N/A,Acrylonitrile
41,Tygon®,N/A,Acrylonitrile
42,Viton®,D - Poor,Acrylonitrile
