,material,compatibility,chemical
0,,,Alcohols:Amyl
1,ABS plastic,A1 - Excellent,Alcohols:Amyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Amyl
3,Aluminum,B - Good,Alcohols:Amyl
4,Brass,A1 - Excellent,Alcohols:Amyl
5,Bronze,A - Excellent,Alcohols:Amyl
6,Buna N (Nitrile),B - Good,Alcohols:Amyl
7,Carbon graphite,A - Excellent,Alcohols:Amyl
8,Carbon Steel,B - Good,Alcohols:Amyl
9,Carpenter 20,A - Excellent,Alcohols:Amyl
10,Cast iron,B - Good,Alcohols:Amyl
11,Ceramic Al203,A - Excellent,Alcohols:Amyl
12,Ceramic magnet,N/A,Alcohols:Amyl
13,ChemRaz (FFKM),C - Fair,Alcohols:Amyl
14,Copper,A - Excellent,Alcohols:Amyl
15,CPVC,A2 - Excellent,Alcohols:Amyl
16,EPDM,A - Excellent,Alcohols:Amyl
17,Epoxy,B2 - Good,Alcohols:Amyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Amyl
19,Hastelloy-C®,A - Excellent,Alcohols:Amyl
20,Hypalon®,A - Excellent,Alcohols:Amyl
21,Hytrel®,A1 - Excellent,Alcohols:Amyl
22,Kalrez,A - Excellent,Alcohols:Amyl
23,Kel-F®,A - Excellent,Alcohols:Amyl
24,LDPE,B2 - Good,Alcohols:Amyl
25,Natural rubber,B - Good,Alcohols:Amyl
26,Neoprene,A - Excellent,Alcohols:Amyl
27,NORYL®,C - Fair,Alcohols:Amyl
28,Nylon,A1 - Excellent,Alcohols:Amyl
29,Polycarbonate,B1 - Good,Alcohols:Amyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Amyl
31,Polypropylene,B1 - Good,Alcohols:Amyl
32,Polyurethane,D - Poor,Alcohols:Amyl
33,PPS (Ryton®),A - Excellent,Alcohols:Amyl
34,PTFE,A - Excellent,Alcohols:Amyl
35,PVC,A2 - Excellent,Alcohols:Amyl
36,PVDF (Kynar®),A - Excellent,Alcohols:Amyl
37,Silicone,D - Poor,Alcohols:Amyl
38,stainless steel - 304,A - Excellent,Alcohols:Amyl
39,stainless steel - 316,A - Excellent,Alcohols:Amyl
40,Titanium,B - Good,Alcohols:Amyl
41,Tygon®,D - Poor,Alcohols:Amyl
42,Viton®,A - Excellent,Alcohols:Amyl
