,material,compatibility,chemical
0,,,Alcohols:Benzyl
1,ABS plastic,D - Poor,Alcohols:Benzyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Benzyl
3,Aluminum,B - Good,Alcohols:Benzyl
4,Brass,N/A,Alcohols:Benzyl
5,Bronze,A - Excellent,Alcohols:Benzyl
6,Buna N (Nitrile),D - Poor,Alcohols:Benzyl
7,Carbon graphite,N/A,Alcohols:Benzyl
8,Carbon Steel,B - Good,Alcohols:Benzyl
9,Carpenter 20,A - Excellent,Alcohols:Benzyl
10,Cast iron,B - Good,Alcohols:Benzyl
11,Ceramic Al203,A - Excellent,Alcohols:Benzyl
12,Ceramic magnet,N/A,Alcohols:Benzyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Benzyl
14,Copper,B - Good,Alcohols:Benzyl
15,CPVC,A - Excellent,Alcohols:Benzyl
16,EPDM,B - Good,Alcohols:Benzyl
17,Epoxy,C - Fair,Alcohols:Benzyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Benzyl
19,Hastelloy-C®,A - Excellent,Alcohols:Benzyl
20,Hypalon®,C - Fair,Alcohols:Benzyl
21,Hytrel®,N/A,Alcohols:Benzyl
22,Kalrez,N/A,Alcohols:Benzyl
23,Kel-F®,A - Excellent,Alcohols:Benzyl
24,LDPE,D - Poor,Alcohols:Benzyl
25,Natural rubber,D - Poor,Alcohols:Benzyl
26,Neoprene,C - Fair,Alcohols:Benzyl
27,NORYL®,D - Poor,Alcohols:Benzyl
28,Nylon,B1 - Good,Alcohols:Benzyl
29,Polycarbonate,N/A,Alcohols:Benzyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Benzyl
31,Polypropylene,A - Excellent,Alcohols:Benzyl
32,Polyurethane,D - Poor,Alcohols:Benzyl
33,PPS (Ryton®),A - Excellent,Alcohols:Benzyl
34,PTFE,A - Excellent,Alcohols:Benzyl
35,PVC,D - Poor,Alcohols:Benzyl
36,PVDF (Kynar®),A - Excellent,Alcohols:Benzyl
37,Silicone,N/A,Alcohols:Benzyl
38,stainless steel - 304,B - Good,Alcohols:Benzyl
39,stainless steel - 316,B - Good,Alcohols:Benzyl
40,Titanium,A - Excellent,Alcohols:Benzyl
41,Tygon®,D - Poor,Alcohols:Benzyl
42,Viton®,A - Excellent,Alcohols:Benzyl
