,material,compatibility,chemical
0,,,Alcohols:Butyl
1,ABS plastic,A1 - Excellent,Alcohols:Butyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Butyl
3,Aluminum,B - Good,Alcohols:Butyl
4,Brass,A - Excellent,Alcohols:Butyl
5,Bronze,A - Excellent,Alcohols:Butyl
6,Buna N (Nitrile),C - Fair,Alcohols:Butyl
7,Carbon graphite,A - Excellent,Alcohols:Butyl
8,Carbon Steel,B - Good,Alcohols:Butyl
9,Carpenter 20,A - Excellent,Alcohols:Butyl
10,Cast iron,B - Good,Alcohols:Butyl
11,Ceramic Al203,A - Excellent,Alcohols:Butyl
12,Ceramic magnet,N/A,Alcohols:Butyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Butyl
14,Copper,A - Excellent,Alcohols:Butyl
15,CPVC,A2 - Excellent,Alcohols:Butyl
16,EPDM,A2 - Excellent,Alcohols:Butyl
17,Epoxy,A - Excellent,Alcohols:Butyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Butyl
19,Hastelloy-C®,A - Excellent,Alcohols:Butyl
20,Hypalon®,A - Excellent,Alcohols:Butyl
21,Hytrel®,N/A,Alcohols:Butyl
22,Kalrez,A - Excellent,Alcohols:Butyl
23,Kel-F®,N/A,Alcohols:Butyl
24,LDPE,A - Excellent,Alcohols:Butyl
25,Natural rubber,A - Excellent,Alcohols:Butyl
26,Neoprene,A - Excellent,Alcohols:Butyl
27,NORYL®,A - Excellent,Alcohols:Butyl
28,Nylon,D - Poor,Alcohols:Butyl
29,Polycarbonate,A2 - Excellent,Alcohols:Butyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Butyl
31,Polypropylene,A - Excellent,Alcohols:Butyl
32,Polyurethane,D - Poor,Alcohols:Butyl
33,PPS (Ryton®),A - Excellent,Alcohols:Butyl
34,PTFE,A - Excellent,Alcohols:Butyl
35,PVC,A2 - Excellent,Alcohols:Butyl
36,PVDF (Kynar®),A - Excellent,Alcohols:Butyl
37,Silicone,B - Good,Alcohols:Butyl
38,stainless steel - 304,A - Excellent,Alcohols:Butyl
39,stainless steel - 316,A - Excellent,Alcohols:Butyl
40,Titanium,A - Excellent,Alcohols:Butyl
41,Tygon®,A2 - Excellent,Alcohols:Butyl
42,Viton®,A - Excellent,Alcohols:Butyl
