,material,compatibility,chemical
0,,,Alcohols:Diacetone
1,ABS plastic,N/A,Alcohols:Diacetone
2,Acetal (Delrin®),A - Excellent,Alcohols:Diacetone
3,Aluminum,A1 - Excellent,Alcohols:Diacetone
4,Brass,A - Excellent,Alcohols:Diacetone
5,Bronze,A - Excellent,Alcohols:Diacetone
6,Buna N (Nitrile),D - Poor,Alcohols:Diacetone
7,Carbon graphite,A - Excellent,Alcohols:Diacetone
8,Carbon Steel,A - Excellent,Alcohols:Diacetone
9,Carpenter 20,A - Excellent,Alcohols:Diacetone
10,Cast iron,A - Excellent,Alcohols:Diacetone
11,Ceramic Al203,N/A,Alcohols:Diacetone
12,Ceramic magnet,N/A,Alcohols:Diacetone
13,ChemRaz (FFKM),A - Excellent,Alcohols:Diacetone
14,Copper,N/A,Alcohols:Diacetone
15,CPVC,N/A,Alcohols:Diacetone
16,EPDM,A - Excellent,Alcohols:Diacetone
17,Epoxy,A - Excellent,Alcohols:Diacetone
18,Fluorocarbon (FKM),D - Poor,Alcohols:Diacetone
19,Hastelloy-C®,A - Excellent,Alcohols:Diacetone
20,Hypalon®,D - Poor,Alcohols:Diacetone
21,Hytrel®,N/A,Alcohols:Diacetone
22,Kalrez,A - Excellent,Alcohols:Diacetone
23,Kel-F®,B1 - Good,Alcohols:Diacetone
24,LDPE,B1 - Good,Alcohols:Diacetone
25,Natural rubber,D - Poor,Alcohols:Diacetone
26,Neoprene,D - Poor,Alcohols:Diacetone
27,NORYL®,A - Excellent,Alcohols:Diacetone
28,Nylon,A - Excellent,Alcohols:Diacetone
29,Polycarbonate,N/A,Alcohols:Diacetone
30,Polyetherether Ketone (PEEK),N/A,Alcohols:Diacetone
31,Polypropylene,B2 - Good,Alcohols:Diacetone
32,Polyurethane,D - Poor,Alcohols:Diacetone
33,PPS (Ryton®),N/A,Alcohols:Diacetone
34,PTFE,A - Excellent,Alcohols:Diacetone
35,PVC,B1 - Good,Alcohols:Diacetone
36,PVDF (Kynar®),A1 - Excellent,Alcohols:Diacetone
37,Silicone,D - Poor,Alcohols:Diacetone
38,stainless steel - 304,A - Excellent,Alcohols:Diacetone
39,stainless steel - 316,A - Excellent,Alcohols:Diacetone
40,Titanium,A - Excellent,Alcohols:Diacetone
41,Tygon®,B1 - Good,Alcohols:Diacetone
42,Viton®,D - Poor,Alcohols:Diacetone
