,material,compatibility,chemical
0,,,Alcohols:Ethyl
1,ABS plastic,B1 - Good,Alcohols:Ethyl
2,Acetal (Delrin®),A1 - Excellent,Alcohols:Ethyl
3,Aluminum,B - Good,Alcohols:Ethyl
4,Brass,A - Excellent,Alcohols:Ethyl
5,Bronze,A - Excellent,Alcohols:Ethyl
6,Buna N (Nitrile),C - Fair,Alcohols:Ethyl
7,Carbon graphite,A - Excellent,Alcohols:Ethyl
8,Carbon Steel,B - Good,Alcohols:Ethyl
9,Carpenter 20,A - Excellent,Alcohols:Ethyl
10,Cast iron,B - Good,Alcohols:Ethyl
11,Ceramic Al203,A - Excellent,Alcohols:Ethyl
12,Ceramic magnet,N/A,Alcohols:Ethyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Ethyl
14,Copper,A - Excellent,Alcohols:Ethyl
15,CPVC,B - Good,Alcohols:Ethyl
16,EPDM,A - Excellent,Alcohols:Ethyl
17,Epoxy,A2 - Excellent,Alcohols:Ethyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Ethyl
19,Hastelloy-C®,A - Excellent,Alcohols:Ethyl
20,Hypalon®,A - Excellent,Alcohols:Ethyl
21,Hytrel®,N/A,Alcohols:Ethyl
22,Kalrez,A - Excellent,Alcohols:Ethyl
23,Kel-F®,A - Excellent,Alcohols:Ethyl
24,LDPE,B - Good,Alcohols:Ethyl
25,Natural rubber,A - Excellent,Alcohols:Ethyl
26,Neoprene,A - Excellent,Alcohols:Ethyl
27,NORYL®,A1 - Excellent,Alcohols:Ethyl
28,Nylon,A1 - Excellent,Alcohols:Ethyl
29,Polycarbonate,B2 - Good,Alcohols:Ethyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Ethyl
31,Polypropylene,A - Excellent,Alcohols:Ethyl
32,Polyurethane,D - Poor,Alcohols:Ethyl
33,PPS (Ryton®),N/A,Alcohols:Ethyl
34,PTFE,A - Excellent,Alcohols:Ethyl
35,PVC,C - Fair,Alcohols:Ethyl
36,PVDF (Kynar®),N/A,Alcohols:Ethyl
37,Silicone,B - Good,Alcohols:Ethyl
38,stainless steel - 304,A - Excellent,Alcohols:Ethyl
39,stainless steel - 316,A - Excellent,Alcohols:Ethyl
40,Titanium,A - Excellent,Alcohols:Ethyl
41,Tygon®,C - Fair,Alcohols:Ethyl
42,Viton®,A - Excellent,Alcohols:Ethyl
