,material,compatibility,chemical
0,,,Alcohols:Hexyl
1,ABS plastic,N/A,Alcohols:Hexyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Hexyl
3,Aluminum,A - Excellent,Alcohols:Hexyl
4,Brass,N/A,Alcohols:Hexyl
5,Bronze,A - Excellent,Alcohols:Hexyl
6,Buna N (Nitrile),A - Excellent,Alcohols:Hexyl
7,Carbon graphite,N/A,Alcohols:Hexyl
8,Carbon Steel,A - Excellent,Alcohols:Hexyl
9,Carpenter 20,A - Excellent,Alcohols:Hexyl
10,Cast iron,A - Excellent,Alcohols:Hexyl
11,Ceramic Al203,N/A,Alcohols:Hexyl
12,Ceramic magnet,N/A,Alcohols:Hexyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Hexyl
14,Copper,N/A,Alcohols:Hexyl
15,CPVC,N/A,Alcohols:Hexyl
16,EPDM,C - Fair,Alcohols:Hexyl
17,Epoxy,A - Excellent,Alcohols:Hexyl
18,Fluorocarbon (FKM),B - Good,Alcohols:Hexyl
19,Hastelloy-C®,A - Excellent,Alcohols:Hexyl
20,Hypalon®,B - Good,Alcohols:Hexyl
21,Hytrel®,N/A,Alcohols:Hexyl
22,Kalrez,A - Excellent,Alcohols:Hexyl
23,Kel-F®,N/A,Alcohols:Hexyl
24,LDPE,A - Excellent,Alcohols:Hexyl
25,Natural rubber,A - Excellent,Alcohols:Hexyl
26,Neoprene,A - Excellent,Alcohols:Hexyl
27,NORYL®,A - Excellent,Alcohols:Hexyl
28,Nylon,A - Excellent,Alcohols:Hexyl
29,Polycarbonate,N/A,Alcohols:Hexyl
30,Polyetherether Ketone (PEEK),N/A,Alcohols:Hexyl
31,Polypropylene,N/A,Alcohols:Hexyl
32,Polyurethane,D - Poor,Alcohols:Hexyl
33,PPS (Ryton®),N/A,Alcohols:Hexyl
34,PTFE,A - Excellent,Alcohols:Hexyl
35,PVC,A2 - Excellent,Alcohols:Hexyl
36,PVDF (Kynar®),N/A,Alcohols:Hexyl
37,Silicone,B - Good,Alcohols:Hexyl
38,stainless steel - 304,A - Excellent,Alcohols:Hexyl
39,stainless steel - 316,A - Excellent,Alcohols:Hexyl
40,Titanium,A - Excellent,Alcohols:Hexyl
41,Tygon®,A2 - Excellent,Alcohols:Hexyl
42,Viton®,C - Fair,Alcohols:Hexyl
