,material,compatibility,chemical
0,,,Alcohols:Isobutyl
1,ABS plastic,B - Good,Alcohols:Isobutyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Isobutyl
3,Aluminum,B - Good,Alcohols:Isobutyl
4,Brass,N/A,Alcohols:Isobutyl
5,Bronze,A - Excellent,Alcohols:Isobutyl
6,Buna N (Nitrile),B - Good,Alcohols:Isobutyl
7,Carbon graphite,A - Excellent,Alcohols:Isobutyl
8,Carbon Steel,B - Good,Alcohols:Isobutyl
9,Carpenter 20,A - Excellent,Alcohols:Isobutyl
10,Cast iron,C - Fair,Alcohols:Isobutyl
11,Ceramic Al203,N/A,Alcohols:Isobutyl
12,Ceramic magnet,N/A,Alcohols:Isobutyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Isobutyl
14,Copper,N/A,Alcohols:Isobutyl
15,CPVC,N/A,Alcohols:Isobutyl
16,EPDM,A - Excellent,Alcohols:Isobutyl
17,Epoxy,A - Excellent,Alcohols:Isobutyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Isobutyl
19,Hastelloy-C®,A - Excellent,Alcohols:Isobutyl
20,Hypalon®,A - Excellent,Alcohols:Isobutyl
21,Hytrel®,N/A,Alcohols:Isobutyl
22,Kalrez,A - Excellent,Alcohols:Isobutyl
23,Kel-F®,N/A,Alcohols:Isobutyl
24,LDPE,A2 - Excellent,Alcohols:Isobutyl
25,Natural rubber,A - Excellent,Alcohols:Isobutyl
26,Neoprene,A - Excellent,Alcohols:Isobutyl
27,NORYL®,A - Excellent,Alcohols:Isobutyl
28,Nylon,A1 - Excellent,Alcohols:Isobutyl
29,Polycarbonate,N/A,Alcohols:Isobutyl
30,Polyetherether Ketone (PEEK),N/A,Alcohols:Isobutyl
31,Polypropylene,A1 - Excellent,Alcohols:Isobutyl
32,Polyurethane,D - Poor,Alcohols:Isobutyl
33,PPS (Ryton®),N/A,Alcohols:Isobutyl
34,PTFE,A2 - Excellent,Alcohols:Isobutyl
35,PVC,A1 - Excellent,Alcohols:Isobutyl
36,PVDF (Kynar®),N/A,Alcohols:Isobutyl
37,Silicone,A - Excellent,Alcohols:Isobutyl
38,stainless steel - 304,A - Excellent,Alcohols:Isobutyl
39,stainless steel - 316,A - Excellent,Alcohols:Isobutyl
40,Titanium,B - Good,Alcohols:Isobutyl
41,Tygon®,A1 - Excellent,Alcohols:Isobutyl
42,Viton®,A - Excellent,Alcohols:Isobutyl
