,material,compatibility,chemical
0,,,Alcohols:Isopropyl
1,ABS plastic,N/A,Alcohols:Isopropyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Isopropyl
3,Aluminum,B - Good,Alcohols:Isopropyl
4,Brass,N/A,Alcohols:Isopropyl
5,Bronze,A - Excellent,Alcohols:Isopropyl
6,Buna N (Nitrile),B - Good,Alcohols:Isopropyl
7,Carbon graphite,A - Excellent,Alcohols:Isopropyl
8,Carbon Steel,A - Excellent,Alcohols:Isopropyl
9,Carpenter 20,A - Excellent,Alcohols:Isopropyl
10,Cast iron,A - Excellent,Alcohols:Isopropyl
11,Ceramic Al203,A - Excellent,Alcohols:Isopropyl
12,Ceramic magnet,A - Excellent,Alcohols:Isopropyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Isopropyl
14,Copper,B - Good,Alcohols:Isopropyl
15,CPVC,C - Fair,Alcohols:Isopropyl
16,EPDM,A - Excellent,Alcohols:Isopropyl
17,Epoxy,A - Excellent,Alcohols:Isopropyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Isopropyl
19,Hastelloy-C®,A - Excellent,Alcohols:Isopropyl
20,Hypalon®,A - Excellent,Alcohols:Isopropyl
21,Hytrel®,N/A,Alcohols:Isopropyl
22,Kalrez,A - Excellent,Alcohols:Isopropyl
23,Kel-F®,N/A,Alcohols:Isopropyl
24,LDPE,A2 - Excellent,Alcohols:Isopropyl
25,Natural rubber,A - Excellent,Alcohols:Isopropyl
26,Neoprene,B - Good,Alcohols:Isopropyl
27,NORYL®,A1 - Excellent,Alcohols:Isopropyl
28,Nylon,D - Poor,Alcohols:Isopropyl
29,Polycarbonate,A2 - Excellent,Alcohols:Isopropyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Isopropyl
31,Polypropylene,A2 - Excellent,Alcohols:Isopropyl
32,Polyurethane,D - Poor,Alcohols:Isopropyl
33,PPS (Ryton®),N/A,Alcohols:Isopropyl
34,PTFE,A2 - Excellent,Alcohols:Isopropyl
35,PVC,A1 - Excellent,Alcohols:Isopropyl
36,PVDF (Kynar®),N/A,Alcohols:Isopropyl
37,Silicone,A - Excellent,Alcohols:Isopropyl
38,stainless steel - 304,B - Good,Alcohols:Isopropyl
39,stainless steel - 316,B - Good,Alcohols:Isopropyl
40,Titanium,B - Good,Alcohols:Isopropyl
41,Tygon®,A1 - Excellent,Alcohols:Isopropyl
42,Viton®,A - Excellent,Alcohols:Isopropyl
