,material,compatibility,chemical
0,,,Alcohols:Methyl
1,ABS plastic,D - Poor,Alcohols:Methyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Methyl
3,Aluminum,A1 - Excellent,Alcohols:Methyl
4,Brass,A - Excellent,Alcohols:Methyl
5,Bronze,A - Excellent,Alcohols:Methyl
6,Buna N (Nitrile),A - Excellent,Alcohols:Methyl
7,Carbon graphite,A - Excellent,Alcohols:Methyl
8,Carbon Steel,A - Excellent,Alcohols:Methyl
9,Carpenter 20,A - Excellent,Alcohols:Methyl
10,Cast iron,A - Excellent,Alcohols:Methyl
11,Ceramic Al203,A - Excellent,Alcohols:Methyl
12,Ceramic magnet,A - Excellent,Alcohols:Methyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Methyl
14,Copper,B1 - Good,Alcohols:Methyl
15,CPVC,A - Excellent,Alcohols:Methyl
16,EPDM,A - Excellent,Alcohols:Methyl
17,Epoxy,B1 - Good,Alcohols:Methyl
18,Fluorocarbon (FKM),C - Fair,Alcohols:Methyl
19,Hastelloy-C®,A - Excellent,Alcohols:Methyl
20,Hypalon®,A - Excellent,Alcohols:Methyl
21,Hytrel®,B - Good,Alcohols:Methyl
22,Kalrez,A - Excellent,Alcohols:Methyl
23,Kel-F®,A1 - Excellent,Alcohols:Methyl
24,LDPE,A1 - Excellent,Alcohols:Methyl
25,Natural rubber,A - Excellent,Alcohols:Methyl
26,Neoprene,A - Excellent,Alcohols:Methyl
27,NORYL®,A - Excellent,Alcohols:Methyl
28,Nylon,B1 - Good,Alcohols:Methyl
29,Polycarbonate,B1 - Good,Alcohols:Methyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Methyl
31,Polypropylene,A2 - Excellent,Alcohols:Methyl
32,Polyurethane,D - Poor,Alcohols:Methyl
33,PPS (Ryton®),A - Excellent,Alcohols:Methyl
34,PTFE,A - Excellent,Alcohols:Methyl
35,PVC,A1 - Excellent,Alcohols:Methyl
36,PVDF (Kynar®),A - Excellent,Alcohols:Methyl
37,Silicone,A - Excellent,Alcohols:Methyl
38,stainless steel - 304,A - Excellent,Alcohols:Methyl
39,stainless steel - 316,A - Excellent,Alcohols:Methyl
40,Titanium,B - Good,Alcohols:Methyl
41,Tygon®,A1 - Excellent,Alcohols:Methyl
42,Viton®,C - Fair,Alcohols:Methyl
