,material,compatibility,chemical
0,,,Alcohols:Octyl
1,ABS plastic,D - Poor,Alcohols:Octyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Octyl
3,Aluminum,A1 - Excellent,Alcohols:Octyl
4,Brass,A - Excellent,Alcohols:Octyl
5,Bronze,A - Excellent,Alcohols:Octyl
6,Buna N (Nitrile),A - Excellent,Alcohols:Octyl
7,Carbon graphite,A - Excellent,Alcohols:Octyl
8,Carbon Steel,A - Excellent,Alcohols:Octyl
9,Carpenter 20,A - Excellent,Alcohols:Octyl
10,Cast iron,A - Excellent,Alcohols:Octyl
11,Ceramic Al203,A - Excellent,Alcohols:Octyl
12,Ceramic magnet,A - Excellent,Alcohols:Octyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Octyl
14,Copper,B1 - Good,Alcohols:Octyl
15,CPVC,A - Excellent,Alcohols:Octyl
16,EPDM,A - Excellent,Alcohols:Octyl
17,Epoxy,B1 - Good,Alcohols:Octyl
18,Fluorocarbon (FKM),C - Fair,Alcohols:Octyl
19,Hastelloy-C®,A - Excellent,Alcohols:Octyl
20,Hypalon®,A - Excellent,Alcohols:Octyl
21,Hytrel®,B - Good,Alcohols:Octyl
22,Kalrez,A - Excellent,Alcohols:Octyl
23,Kel-F®,A1 - Excellent,Alcohols:Octyl
24,LDPE,A1 - Excellent,Alcohols:Octyl
25,Natural rubber,A - Excellent,Alcohols:Octyl
26,Neoprene,A - Excellent,Alcohols:Octyl
27,NORYL®,A - Excellent,Alcohols:Octyl
28,Nylon,B1 - Good,Alcohols:Octyl
29,Polycarbonate,B1 - Good,Alcohols:Octyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Octyl
31,Polypropylene,A2 - Excellent,Alcohols:Octyl
32,Polyurethane,D - Poor,Alcohols:Octyl
33,PPS (Ryton®),A - Excellent,Alcohols:Octyl
34,PTFE,A - Excellent,Alcohols:Octyl
35,PVC,A1 - Excellent,Alcohols:Octyl
36,PVDF (Kynar®),A - Excellent,Alcohols:Octyl
37,Silicone,A - Excellent,Alcohols:Octyl
38,stainless steel - 304,A - Excellent,Alcohols:Octyl
39,stainless steel - 316,A - Excellent,Alcohols:Octyl
40,Titanium,B - Good,Alcohols:Octyl
41,Tygon®,A1 - Excellent,Alcohols:Octyl
42,Viton®,C - Fair,Alcohols:Octyl
