,material,compatibility,chemical
0,,,Alcohols:Propyl
1,ABS plastic,B1 - Good,Alcohols:Propyl
2,Acetal (Delrin®),A - Excellent,Alcohols:Propyl
3,Aluminum,A - Excellent,Alcohols:Propyl
4,Brass,A - Excellent,Alcohols:Propyl
5,Bronze,A - Excellent,Alcohols:Propyl
6,Buna N (Nitrile),A - Excellent,Alcohols:Propyl
7,Carbon graphite,A - Excellent,Alcohols:Propyl
8,Carbon Steel,A - Excellent,Alcohols:Propyl
9,Carpenter 20,A - Excellent,Alcohols:Propyl
10,Cast iron,A - Excellent,Alcohols:Propyl
11,Ceramic Al203,A - Excellent,Alcohols:Propyl
12,Ceramic magnet,N/A,Alcohols:Propyl
13,ChemRaz (FFKM),A - Excellent,Alcohols:Propyl
14,Copper,A - Excellent,Alcohols:Propyl
15,CPVC,A2 - Excellent,Alcohols:Propyl
16,EPDM,A - Excellent,Alcohols:Propyl
17,Epoxy,A - Excellent,Alcohols:Propyl
18,Fluorocarbon (FKM),A - Excellent,Alcohols:Propyl
19,Hastelloy-C®,A - Excellent,Alcohols:Propyl
20,Hypalon®,A - Excellent,Alcohols:Propyl
21,Hytrel®,N/A,Alcohols:Propyl
22,Kalrez,A - Excellent,Alcohols:Propyl
23,Kel-F®,N/A,Alcohols:Propyl
24,LDPE,A2 - Excellent,Alcohols:Propyl
25,Natural rubber,A - Excellent,Alcohols:Propyl
26,Neoprene,A - Excellent,Alcohols:Propyl
27,NORYL®,A2 - Excellent,Alcohols:Propyl
28,Nylon,D - Poor,Alcohols:Propyl
29,Polycarbonate,N/A,Alcohols:Propyl
30,Polyetherether Ketone (PEEK),A - Excellent,Alcohols:Propyl
31,Polypropylene,A - Excellent,Alcohols:Propyl
32,Polyurethane,D - Poor,Alcohols:Propyl
33,PPS (Ryton®),A - Excellent,Alcohols:Propyl
34,PTFE,A - Excellent,Alcohols:Propyl
35,PVC,A1 - Excellent,Alcohols:Propyl
36,PVDF (Kynar®),A2 - Excellent,Alcohols:Propyl
37,Silicone,A - Excellent,Alcohols:Propyl
38,stainless steel - 304,A - Excellent,Alcohols:Propyl
39,stainless steel - 316,A - Excellent,Alcohols:Propyl
40,Titanium,A - Excellent,Alcohols:Propyl
41,Tygon®,A1 - Excellent,Alcohols:Propyl
42,Viton®,A - Excellent,Alcohols:Propyl
