,material,compatibility,chemical
0,,,Aluminum Chloride 20%
1,ABS plastic,N/A,Aluminum Chloride 20%
2,Acetal (Delrin®),C - Fair,Aluminum Chloride 20%
3,Aluminum,D - Poor,Aluminum Chloride 20%
4,Brass,D - Poor,Aluminum Chloride 20%
5,Bronze,D - Poor,Aluminum Chloride 20%
6,Buna N (Nitrile),A - Excellent,Aluminum Chloride 20%
7,Carbon graphite,A - Excellent,Aluminum Chloride 20%
8,Carbon Steel,N/A,Aluminum Chloride 20%
9,Carpenter 20,C1 - Fair,Aluminum Chloride 20%
10,Cast iron,D - Poor,Aluminum Chloride 20%
11,Ceramic Al203,A - Excellent,Aluminum Chloride 20%
12,Ceramic magnet,B - Good,Aluminum Chloride 20%
13,ChemRaz (FFKM),A - Excellent,Aluminum Chloride 20%
14,Copper,N/A,Aluminum Chloride 20%
15,CPVC,A - Excellent,Aluminum Chloride 20%
16,EPDM,A - Excellent,Aluminum Chloride 20%
17,Epoxy,A1 - Excellent,Aluminum Chloride 20%
18,Fluorocarbon (FKM),A - Excellent,Aluminum Chloride 20%
19,Hastelloy-C®,A - Excellent,Aluminum Chloride 20%
20,Hypalon®,B - Good,Aluminum Chloride 20%
21,Hytrel®,N/A,Aluminum Chloride 20%
22,Kalrez,A - Excellent,Aluminum Chloride 20%
23,Kel-F®,A - Excellent,Aluminum Chloride 20%
24,LDPE,B2 - Good,Aluminum Chloride 20%
25,Natural rubber,A - Excellent,Aluminum Chloride 20%
26,Neoprene,A - Excellent,Aluminum Chloride 20%
27,NORYL®,A - Excellent,Aluminum Chloride 20%
28,Nylon,D - Poor,Aluminum Chloride 20%
29,Polycarbonate,A1 - Excellent,Aluminum Chloride 20%
30,Polyetherether Ketone (PEEK),A - Excellent,Aluminum Chloride 20%
31,Polypropylene,A - Excellent,Aluminum Chloride 20%
32,Polyurethane,A - Excellent,Aluminum Chloride 20%
33,PPS (Ryton®),A - Excellent,Aluminum Chloride 20%
34,PTFE,A - Excellent,Aluminum Chloride 20%
35,PVC,A1 - Excellent,Aluminum Chloride 20%
36,PVDF (Kynar®),A - Excellent,Aluminum Chloride 20%
37,Silicone,B - Good,Aluminum Chloride 20%
38,stainless steel - 304,D - Poor,Aluminum Chloride 20%
39,stainless steel - 316,C1 - Fair,Aluminum Chloride 20%
40,Titanium,B - Good,Aluminum Chloride 20%
41,Tygon®,A1 - Excellent,Aluminum Chloride 20%
42,Viton®,A - Excellent,Aluminum Chloride 20%
