,material,compatibility,chemical
0,,,Aluminum Fluoride
1,ABS plastic,A - Excellent,Aluminum Fluoride
2,Acetal (Delrin®),C - Fair,Aluminum Fluoride
3,Aluminum,B1 - Good,Aluminum Fluoride
4,Brass,N/A,Aluminum Fluoride
5,Bronze,N/A,Aluminum Fluoride
6,Buna N (Nitrile),A - Excellent,Aluminum Fluoride
7,Carbon graphite,A - Excellent,Aluminum Fluoride
8,Carbon Steel,D - Poor,Aluminum Fluoride
9,Carpenter 20,C - Fair,Aluminum Fluoride
10,Cast iron,D - Poor,Aluminum Fluoride
11,Ceramic Al203,N/A,Aluminum Fluoride
12,Ceramic magnet,B - Good,Aluminum Fluoride
13,ChemRaz (FFKM),A - Excellent,Aluminum Fluoride
14,Copper,D - Poor,Aluminum Fluoride
15,CPVC,A - Excellent,Aluminum Fluoride
16,EPDM,A - Excellent,Aluminum Fluoride
17,Epoxy,B1 - Good,Aluminum Fluoride
18,Fluorocarbon (FKM),A - Excellent,Aluminum Fluoride
19,Hastelloy-C®,B - Good,Aluminum Fluoride
20,Hypalon®,A - Excellent,Aluminum Fluoride
21,Hytrel®,N/A,Aluminum Fluoride
22,Kalrez,A - Excellent,Aluminum Fluoride
23,Kel-F®,N/A,Aluminum Fluoride
24,LDPE,A2 - Excellent,Aluminum Fluoride
25,Natural rubber,B - Good,Aluminum Fluoride
26,Neoprene,A - Excellent,Aluminum Fluoride
27,NORYL®,A1 - Excellent,Aluminum Fluoride
28,Nylon,A1 - Excellent,Aluminum Fluoride
29,Polycarbonate,N/A,Aluminum Fluoride
30,Polyetherether Ketone (PEEK),N/A,Aluminum Fluoride
31,Polypropylene,A - Excellent,Aluminum Fluoride
32,Polyurethane,C - Fair,Aluminum Fluoride
33,PPS (Ryton®),A - Excellent,Aluminum Fluoride
34,PTFE,A - Excellent,Aluminum Fluoride
35,PVC,A2 - Excellent,Aluminum Fluoride
36,PVDF (Kynar®),A - Excellent,Aluminum Fluoride
37,Silicone,B - Good,Aluminum Fluoride
38,stainless steel - 304,D - Poor,Aluminum Fluoride
39,stainless steel - 316,D - Poor,Aluminum Fluoride
40,Titanium,A - Excellent,Aluminum Fluoride
41,Tygon®,A2 - Excellent,Aluminum Fluoride
42,Viton®,A - Excellent,Aluminum Fluoride
