,material,compatibility,chemical
0,,,Aluminum Nitrate
1,ABS plastic,N/A,Aluminum Nitrate
2,Acetal (Delrin®),B1 - Good,Aluminum Nitrate
3,Aluminum,D - Poor,Aluminum Nitrate
4,Brass,N/A,Aluminum Nitrate
5,Bronze,N/A,Aluminum Nitrate
6,Buna N (Nitrile),A2 - Excellent,Aluminum Nitrate
7,Carbon graphite,A2 - Excellent,Aluminum Nitrate
8,Carbon Steel,D - Poor,Aluminum Nitrate
9,Carpenter 20,N/A,Aluminum Nitrate
10,Cast iron,N/A,Aluminum Nitrate
11,Ceramic Al203,N/A,Aluminum Nitrate
12,Ceramic magnet,N/A,Aluminum Nitrate
13,ChemRaz (FFKM),A - Excellent,Aluminum Nitrate
14,Copper,N/A,Aluminum Nitrate
15,CPVC,A - Excellent,Aluminum Nitrate
16,EPDM,A2 - Excellent,Aluminum Nitrate
17,Epoxy,A2 - Excellent,Aluminum Nitrate
18,Fluorocarbon (FKM),A - Excellent,Aluminum Nitrate
19,Hastelloy-C®,N/A,Aluminum Nitrate
20,Hypalon®,A2 - Excellent,Aluminum Nitrate
21,Hytrel®,N/A,Aluminum Nitrate
22,Kalrez,A - Excellent,Aluminum Nitrate
23,Kel-F®,A1 - Excellent,Aluminum Nitrate
24,LDPE,A2 - Excellent,Aluminum Nitrate
25,Natural rubber,A1 - Excellent,Aluminum Nitrate
26,Neoprene,A1 - Excellent,Aluminum Nitrate
27,NORYL®,N/A,Aluminum Nitrate
28,Nylon,A1 - Excellent,Aluminum Nitrate
29,Polycarbonate,A1 - Excellent,Aluminum Nitrate
30,Polyetherether Ketone (PEEK),N/A,Aluminum Nitrate
31,Polypropylene,A2 - Excellent,Aluminum Nitrate
32,Polyurethane,C - Fair,Aluminum Nitrate
33,PPS (Ryton®),N/A,Aluminum Nitrate
34,PTFE,A - Excellent,Aluminum Nitrate
35,PVC,B2 - Good,Aluminum Nitrate
36,PVDF (Kynar®),A2 - Excellent,Aluminum Nitrate
37,Silicone,B1 - Good,Aluminum Nitrate
38,stainless steel - 304,A - Excellent,Aluminum Nitrate
39,stainless steel - 316,A - Excellent,Aluminum Nitrate
40,Titanium,A - Excellent,Aluminum Nitrate
41,Tygon®,B2 - Good,Aluminum Nitrate
42,Viton®,A2 - Excellent,Aluminum Nitrate
