,material,compatibility,chemical
0,,,Aluminum Potassium Sulfate 10%
1,ABS plastic,N/A,Aluminum Potassium Sulfate 10%
2,Acetal (Delrin®),C - Fair,Aluminum Potassium Sulfate 10%
3,Aluminum,C - Fair,Aluminum Potassium Sulfate 10%
4,Brass,A - Excellent,Aluminum Potassium Sulfate 10%
5,Bronze,N/A,Aluminum Potassium Sulfate 10%
6,Buna N (Nitrile),A - Excellent,Aluminum Potassium Sulfate 10%
7,Carbon graphite,A - Excellent,Aluminum Potassium Sulfate 10%
8,Carbon Steel,C - Fair,Aluminum Potassium Sulfate 10%
9,Carpenter 20,A - Excellent,Aluminum Potassium Sulfate 10%
10,Cast iron,D - Poor,Aluminum Potassium Sulfate 10%
11,Ceramic Al203,N/A,Aluminum Potassium Sulfate 10%
12,Ceramic magnet,N/A,Aluminum Potassium Sulfate 10%
13,ChemRaz (FFKM),A - Excellent,Aluminum Potassium Sulfate 10%
14,Copper,A2 - Excellent,Aluminum Potassium Sulfate 10%
15,CPVC,B - Good,Aluminum Potassium Sulfate 10%
16,EPDM,A - Excellent,Aluminum Potassium Sulfate 10%
17,Epoxy,A1 - Excellent,Aluminum Potassium Sulfate 10%
18,Fluorocarbon (FKM),A - Excellent,Aluminum Potassium Sulfate 10%
19,Hastelloy-C®,C - Fair,Aluminum Potassium Sulfate 10%
20,Hypalon®,A - Excellent,Aluminum Potassium Sulfate 10%
21,Hytrel®,N/A,Aluminum Potassium Sulfate 10%
22,Kalrez,A - Excellent,Aluminum Potassium Sulfate 10%
23,Kel-F®,A - Excellent,Aluminum Potassium Sulfate 10%
24,LDPE,A2 - Excellent,Aluminum Potassium Sulfate 10%
25,Natural rubber,A - Excellent,Aluminum Potassium Sulfate 10%
26,Neoprene,A - Excellent,Aluminum Potassium Sulfate 10%
27,NORYL®,A2 - Excellent,Aluminum Potassium Sulfate 10%
28,Nylon,D - Poor,Aluminum Potassium Sulfate 10%
29,Polycarbonate,A1 - Excellent,Aluminum Potassium Sulfate 10%
30,Polyetherether Ketone (PEEK),A - Excellent,Aluminum Potassium Sulfate 10%
31,Polypropylene,A - Excellent,Aluminum Potassium Sulfate 10%
32,Polyurethane,N/A,Aluminum Potassium Sulfate 10%
33,PPS (Ryton®),N/A,Aluminum Potassium Sulfate 10%
34,PTFE,A - Excellent,Aluminum Potassium Sulfate 10%
35,PVC,A2 - Excellent,Aluminum Potassium Sulfate 10%
36,PVDF (Kynar®),B - Good,Aluminum Potassium Sulfate 10%
37,Silicone,A - Excellent,Aluminum Potassium Sulfate 10%
38,stainless steel - 304,A - Excellent,Aluminum Potassium Sulfate 10%
39,stainless steel - 316,A - Excellent,Aluminum Potassium Sulfate 10%
40,Titanium,A - Excellent,Aluminum Potassium Sulfate 10%
41,Tygon®,A2 - Excellent,Aluminum Potassium Sulfate 10%
42,Viton®,A - Excellent,Aluminum Potassium Sulfate 10%
