,material,compatibility,chemical
0,,,Aluminum Sulfate
1,ABS plastic,A2 - Excellent,Aluminum Sulfate
2,Acetal (Delrin®),B1 - Good,Aluminum Sulfate
3,Aluminum,B1 - Good,Aluminum Sulfate
4,Brass,B1 - Good,Aluminum Sulfate
5,Bronze,B - Good,Aluminum Sulfate
6,Buna N (Nitrile),A - Excellent,Aluminum Sulfate
7,Carbon graphite,A - Excellent,Aluminum Sulfate
8,Carbon Steel,D - Poor,Aluminum Sulfate
9,Carpenter 20,B - Good,Aluminum Sulfate
10,Cast iron,D - Poor,Aluminum Sulfate
11,Ceramic Al203,A - Excellent,Aluminum Sulfate
12,Ceramic magnet,N/A,Aluminum Sulfate
13,ChemRaz (FFKM),A - Excellent,Aluminum Sulfate
14,Copper,A2 - Excellent,Aluminum Sulfate
15,CPVC,A2 - Excellent,Aluminum Sulfate
16,EPDM,A - Excellent,Aluminum Sulfate
17,Epoxy,A2 - Excellent,Aluminum Sulfate
18,Fluorocarbon (FKM),A - Excellent,Aluminum Sulfate
19,Hastelloy-C®,B - Good,Aluminum Sulfate
20,Hypalon®,A - Excellent,Aluminum Sulfate
21,Hytrel®,B1 - Good,Aluminum Sulfate
22,Kalrez,A - Excellent,Aluminum Sulfate
23,Kel-F®,A - Excellent,Aluminum Sulfate
24,LDPE,A2 - Excellent,Aluminum Sulfate
25,Natural rubber,A - Excellent,Aluminum Sulfate
26,Neoprene,A - Excellent,Aluminum Sulfate
27,NORYL®,A - Excellent,Aluminum Sulfate
28,Nylon,A2 - Excellent,Aluminum Sulfate
29,Polycarbonate,A - Excellent,Aluminum Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Aluminum Sulfate
31,Polypropylene,A - Excellent,Aluminum Sulfate
32,Polyurethane,B - Good,Aluminum Sulfate
33,PPS (Ryton®),A - Excellent,Aluminum Sulfate
34,PTFE,A - Excellent,Aluminum Sulfate
35,PVC,A2 - Excellent,Aluminum Sulfate
36,PVDF (Kynar®),A - Excellent,Aluminum Sulfate
37,Silicone,A - Excellent,Aluminum Sulfate
38,stainless steel - 304,B - Good,Aluminum Sulfate
39,stainless steel - 316,B2 - Good,Aluminum Sulfate
40,Titanium,A - Excellent,Aluminum Sulfate
41,Tygon®,A2 - Excellent,Aluminum Sulfate
42,Viton®,A - Excellent,Aluminum Sulfate
