,material,compatibility,chemical
0,,,Alums
1,ABS plastic,N/A,Alums
2,Acetal (Delrin®),N/A,Alums
3,Aluminum,A - Excellent,Alums
4,Brass,N/A,Alums
5,Bronze,N/A,Alums
6,Buna N (Nitrile),A - Excellent,Alums
7,Carbon graphite,N/A,Alums
8,Carbon Steel,N/A,Alums
9,Carpenter 20,A - Excellent,Alums
10,Cast iron,D - Poor,Alums
11,Ceramic Al203,N/A,Alums
12,Ceramic magnet,N/A,Alums
13,ChemRaz (FFKM),A - Excellent,Alums
14,Copper,C - Fair,Alums
15,CPVC,A - Excellent,Alums
16,EPDM,A1 - Excellent,Alums
17,Epoxy,A - Excellent,Alums
18,Fluorocarbon (FKM),D - Poor,Alums
19,Hastelloy-C®,B - Good,Alums
20,Hypalon®,N/A,Alums
21,Hytrel®,D - Poor,Alums
22,Kalrez,A - Excellent,Alums
23,Kel-F®,N/A,Alums
24,LDPE,A - Excellent,Alums
25,Natural rubber,A - Excellent,Alums
26,Neoprene,B - Good,Alums
27,NORYL®,N/A,Alums
28,Nylon,A - Excellent,Alums
29,Polycarbonate,N/A,Alums
30,Polyetherether Ketone (PEEK),N/A,Alums
31,Polypropylene,A - Excellent,Alums
32,Polyurethane,B - Good,Alums
33,PPS (Ryton®),N/A,Alums
34,PTFE,A - Excellent,Alums
35,PVC,N/A,Alums
36,PVDF (Kynar®),N/A,Alums
37,Silicone,A1 - Excellent,Alums
38,stainless steel - 304,N/A,Alums
39,stainless steel - 316,A - Excellent,Alums
40,Titanium,A - Excellent,Alums
41,Tygon®,N/A,Alums
42,Viton®,A - Excellent,Alums
