,material,compatibility,chemical
0,,,Amines
1,ABS plastic,N/A,Amines
2,Acetal (Delrin®),D - Poor,Amines
3,Aluminum,B - Good,Amines
4,Brass,B1 - Good,Amines
5,Bronze,D - Poor,Amines
6,Buna N (Nitrile),D - Poor,Amines
7,Carbon graphite,A - Excellent,Amines
8,Carbon Steel,B - Good,Amines
9,Carpenter 20,B - Good,Amines
10,Cast iron,D - Poor,Amines
11,Ceramic Al203,N/A,Amines
12,Ceramic magnet,N/A,Amines
13,ChemRaz (FFKM),B - Good,Amines
14,Copper,N/A,Amines
15,CPVC,D - Poor,Amines
16,EPDM,B - Good,Amines
17,Epoxy,A2 - Excellent,Amines
18,Fluorocarbon (FKM),D - Poor,Amines
19,Hastelloy-C®,B - Good,Amines
20,Hypalon®,D - Poor,Amines
21,Hytrel®,A1 - Excellent,Amines
22,Kalrez,A - Excellent,Amines
23,Kel-F®,A - Excellent,Amines
24,LDPE,C1 - Fair,Amines
25,Natural rubber,B - Good,Amines
26,Neoprene,B - Good,Amines
27,NORYL®,D - Poor,Amines
28,Nylon,D - Poor,Amines
29,Polycarbonate,D - Poor,Amines
30,Polyetherether Ketone (PEEK),A - Excellent,Amines
31,Polypropylene,B2 - Good,Amines
32,Polyurethane,N/A,Amines
33,PPS (Ryton®),B - Good,Amines
34,PTFE,A2 - Excellent,Amines
35,PVC,D - Poor,Amines
36,PVDF (Kynar®),N/A,Amines
37,Silicone,B - Good,Amines
38,stainless steel - 304,A - Excellent,Amines
39,stainless steel - 316,A - Excellent,Amines
40,Titanium,B - Good,Amines
41,Tygon®,D - Poor,Amines
42,Viton®,D - Poor,Amines
