,material,compatibility,chemical
0,,,Ammonia Nitrate
1,ABS plastic,N/A,Ammonia Nitrate
2,Acetal (Delrin®),C - Fair,Ammonia Nitrate
3,Aluminum,C - Fair,Ammonia Nitrate
4,Brass,N/A,Ammonia Nitrate
5,Bronze,D - Poor,Ammonia Nitrate
6,Buna N (Nitrile),C - Fair,Ammonia Nitrate
7,Carbon graphite,N/A,Ammonia Nitrate
8,Carbon Steel,N/A,Ammonia Nitrate
9,Carpenter 20,A - Excellent,Ammonia Nitrate
10,Cast iron,A - Excellent,Ammonia Nitrate
11,Ceramic Al203,N/A,Ammonia Nitrate
12,Ceramic magnet,N/A,Ammonia Nitrate
13,ChemRaz (FFKM),N/A,Ammonia Nitrate
14,Copper,N/A,Ammonia Nitrate
15,CPVC,B - Good,Ammonia Nitrate
16,EPDM,A - Excellent,Ammonia Nitrate
17,Epoxy,A - Excellent,Ammonia Nitrate
18,Fluorocarbon (FKM),A - Excellent,Ammonia Nitrate
19,Hastelloy-C®,N/A,Ammonia Nitrate
20,Hypalon®,D - Poor,Ammonia Nitrate
21,Hytrel®,N/A,Ammonia Nitrate
22,Kalrez,N/A,Ammonia Nitrate
23,Kel-F®,N/A,Ammonia Nitrate
24,LDPE,A - Excellent,Ammonia Nitrate
25,Natural rubber,N/A,Ammonia Nitrate
26,Neoprene,C - Fair,Ammonia Nitrate
27,NORYL®,A1 - Excellent,Ammonia Nitrate
28,Nylon,D - Poor,Ammonia Nitrate
29,Polycarbonate,N/A,Ammonia Nitrate
30,Polyetherether Ketone (PEEK),N/A,Ammonia Nitrate
31,Polypropylene,A - Excellent,Ammonia Nitrate
32,Polyurethane,N/A,Ammonia Nitrate
33,PPS (Ryton®),A - Excellent,Ammonia Nitrate
34,PTFE,A - Excellent,Ammonia Nitrate
35,PVC,B - Good,Ammonia Nitrate
36,PVDF (Kynar®),A - Excellent,Ammonia Nitrate
37,Silicone,N/A,Ammonia Nitrate
38,stainless steel - 304,A - Excellent,Ammonia Nitrate
39,stainless steel - 316,A - Excellent,Ammonia Nitrate
40,Titanium,N/A,Ammonia Nitrate
41,Tygon®,B - Good,Ammonia Nitrate
42,Viton®,D - Poor,Ammonia Nitrate
