,material,compatibility,chemical
0,,,"Ammonia, anhydrous"
1,ABS plastic,D - Poor,"Ammonia, anhydrous"
2,Acetal (Delrin®),D - Poor,"Ammonia, anhydrous"
3,Aluminum,A1 - Excellent,"Ammonia, anhydrous"
4,Brass,D - Poor,"Ammonia, anhydrous"
5,Bronze,D - Poor,"Ammonia, anhydrous"
6,Buna N (Nitrile),B - Good,"Ammonia, anhydrous"
7,Carbon graphite,A - Excellent,"Ammonia, anhydrous"
8,Carbon Steel,B - Good,"Ammonia, anhydrous"
9,Carpenter 20,A - Excellent,"Ammonia, anhydrous"
10,Cast iron,A - Excellent,"Ammonia, anhydrous"
11,Ceramic Al203,N/A,"Ammonia, anhydrous"
12,Ceramic magnet,N/A,"Ammonia, anhydrous"
13,ChemRaz (FFKM),B - Good,"Ammonia, anhydrous"
14,Copper,D - Poor,"Ammonia, anhydrous"
15,CPVC,A1 - Excellent,"Ammonia, anhydrous"
16,EPDM,A - Excellent,"Ammonia, anhydrous"
17,Epoxy,A - Excellent,"Ammonia, anhydrous"
18,Fluorocarbon (FKM),D - Poor,"Ammonia, anhydrous"
19,Hastelloy-C®,B - Good,"Ammonia, anhydrous"
20,Hypalon®,D - Poor,"Ammonia, anhydrous"
21,Hytrel®,D - Poor,"Ammonia, anhydrous"
22,Kalrez,A - Excellent,"Ammonia, anhydrous"
23,Kel-F®,A - Excellent,"Ammonia, anhydrous"
24,LDPE,B2 - Good,"Ammonia, anhydrous"
25,Natural rubber,D - Poor,"Ammonia, anhydrous"
26,Neoprene,A - Excellent,"Ammonia, anhydrous"
27,NORYL®,B1 - Good,"Ammonia, anhydrous"
28,Nylon,A1 - Excellent,"Ammonia, anhydrous"
29,Polycarbonate,D - Poor,"Ammonia, anhydrous"
30,Polyetherether Ketone (PEEK),A - Excellent,"Ammonia, anhydrous"
31,Polypropylene,A - Excellent,"Ammonia, anhydrous"
32,Polyurethane,D - Poor,"Ammonia, anhydrous"
33,PPS (Ryton®),A1 - Excellent,"Ammonia, anhydrous"
34,PTFE,A - Excellent,"Ammonia, anhydrous"
35,PVC,A2 - Excellent,"Ammonia, anhydrous"
36,PVDF (Kynar®),A - Excellent,"Ammonia, anhydrous"
37,Silicone,C - Fair,"Ammonia, anhydrous"
38,stainless steel - 304,A - Excellent,"Ammonia, anhydrous"
39,stainless steel - 316,A2 - Excellent,"Ammonia, anhydrous"
40,Titanium,C - Fair,"Ammonia, anhydrous"
41,Tygon®,A2 - Excellent,"Ammonia, anhydrous"
42,Viton®,D - Poor,"Ammonia, anhydrous"
