,material,compatibility,chemical
0,,,"Ammonia, liquid"
1,ABS plastic,N/A,"Ammonia, liquid"
2,Acetal (Delrin®),D - Poor,"Ammonia, liquid"
3,Aluminum,A - Excellent,"Ammonia, liquid"
4,Brass,N/A,"Ammonia, liquid"
5,Bronze,D - Poor,"Ammonia, liquid"
6,Buna N (Nitrile),C - Fair,"Ammonia, liquid"
7,Carbon graphite,A - Excellent,"Ammonia, liquid"
8,Carbon Steel,A - Excellent,"Ammonia, liquid"
9,Carpenter 20,B2 - Good,"Ammonia, liquid"
10,Cast iron,A - Excellent,"Ammonia, liquid"
11,Ceramic Al203,A - Excellent,"Ammonia, liquid"
12,Ceramic magnet,N/A,"Ammonia, liquid"
13,ChemRaz (FFKM),N/A,"Ammonia, liquid"
14,Copper,N/A,"Ammonia, liquid"
15,CPVC,A - Excellent,"Ammonia, liquid"
16,EPDM,A - Excellent,"Ammonia, liquid"
17,Epoxy,A1 - Excellent,"Ammonia, liquid"
18,Fluorocarbon (FKM),D - Poor,"Ammonia, liquid"
19,Hastelloy-C®,B - Good,"Ammonia, liquid"
20,Hypalon®,D - Poor,"Ammonia, liquid"
21,Hytrel®,N/A,"Ammonia, liquid"
22,Kalrez,N/A,"Ammonia, liquid"
23,Kel-F®,A - Excellent,"Ammonia, liquid"
24,LDPE,C1 - Fair,"Ammonia, liquid"
25,Natural rubber,D - Poor,"Ammonia, liquid"
26,Neoprene,A - Excellent,"Ammonia, liquid"
27,NORYL®,N/A,"Ammonia, liquid"
28,Nylon,B1 - Good,"Ammonia, liquid"
29,Polycarbonate,D - Poor,"Ammonia, liquid"
30,Polyetherether Ketone (PEEK),B - Good,"Ammonia, liquid"
31,Polypropylene,A2 - Excellent,"Ammonia, liquid"
32,Polyurethane,D - Poor,"Ammonia, liquid"
33,PPS (Ryton®),A1 - Excellent,"Ammonia, liquid"
34,PTFE,A - Excellent,"Ammonia, liquid"
35,PVC,A1 - Excellent,"Ammonia, liquid"
36,PVDF (Kynar®),A - Excellent,"Ammonia, liquid"
37,Silicone,N/A,"Ammonia, liquid"
38,stainless steel - 304,B2 - Good,"Ammonia, liquid"
39,stainless steel - 316,A2 - Excellent,"Ammonia, liquid"
40,Titanium,C - Fair,"Ammonia, liquid"
41,Tygon®,A2 - Excellent,"Ammonia, liquid"
42,Viton®,D - Poor,"Ammonia, liquid"
