,material,compatibility,chemical
0,,,Ammonium Acetate
1,ABS plastic,N/A,Ammonium Acetate
2,Acetal (Delrin®),N/A,Ammonium Acetate
3,Aluminum,A - Excellent,Ammonium Acetate
4,Brass,D - Poor,Ammonium Acetate
5,Bronze,D - Poor,Ammonium Acetate
6,Buna N (Nitrile),B - Good,Ammonium Acetate
7,Carbon graphite,N/A,Ammonium Acetate
8,Carbon Steel,N/A,Ammonium Acetate
9,Carpenter 20,N/A,Ammonium Acetate
10,Cast iron,N/A,Ammonium Acetate
11,Ceramic Al203,N/A,Ammonium Acetate
12,Ceramic magnet,N/A,Ammonium Acetate
13,ChemRaz (FFKM),A - Excellent,Ammonium Acetate
14,Copper,N/A,Ammonium Acetate
15,CPVC,A - Excellent,Ammonium Acetate
16,EPDM,A - Excellent,Ammonium Acetate
17,Epoxy,N/A,Ammonium Acetate
18,Fluorocarbon (FKM),A - Excellent,Ammonium Acetate
19,Hastelloy-C®,N/A,Ammonium Acetate
20,Hypalon®,N/A,Ammonium Acetate
21,Hytrel®,N/A,Ammonium Acetate
22,Kalrez,A - Excellent,Ammonium Acetate
23,Kel-F®,N/A,Ammonium Acetate
24,LDPE,A - Excellent,Ammonium Acetate
25,Natural rubber,N/A,Ammonium Acetate
26,Neoprene,A - Excellent,Ammonium Acetate
27,NORYL®,N/A,Ammonium Acetate
28,Nylon,A - Excellent,Ammonium Acetate
29,Polycarbonate,N/A,Ammonium Acetate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Acetate
31,Polypropylene,A - Excellent,Ammonium Acetate
32,Polyurethane,D - Poor,Ammonium Acetate
33,PPS (Ryton®),N/A,Ammonium Acetate
34,PTFE,A - Excellent,Ammonium Acetate
35,PVC,A - Excellent,Ammonium Acetate
36,PVDF (Kynar®),N/A,Ammonium Acetate
37,Silicone,N/A,Ammonium Acetate
38,stainless steel - 304,B - Good,Ammonium Acetate
39,stainless steel - 316,A - Excellent,Ammonium Acetate
40,Titanium,N/A,Ammonium Acetate
41,Tygon®,A - Excellent,Ammonium Acetate
42,Viton®,A - Excellent,Ammonium Acetate
