,material,compatibility,chemical
0,,,Ammonium Bifluoride
1,ABS plastic,A2 - Excellent,Ammonium Bifluoride
2,Acetal (Delrin®),D - Poor,Ammonium Bifluoride
3,Aluminum,B - Good,Ammonium Bifluoride
4,Brass,N/A,Ammonium Bifluoride
5,Bronze,D - Poor,Ammonium Bifluoride
6,Buna N (Nitrile),B - Good,Ammonium Bifluoride
7,Carbon graphite,A - Excellent,Ammonium Bifluoride
8,Carbon Steel,D - Poor,Ammonium Bifluoride
9,Carpenter 20,B - Good,Ammonium Bifluoride
10,Cast iron,D - Poor,Ammonium Bifluoride
11,Ceramic Al203,N/A,Ammonium Bifluoride
12,Ceramic magnet,N/A,Ammonium Bifluoride
13,ChemRaz (FFKM),A - Excellent,Ammonium Bifluoride
14,Copper,N/A,Ammonium Bifluoride
15,CPVC,A - Excellent,Ammonium Bifluoride
16,EPDM,A2 - Excellent,Ammonium Bifluoride
17,Epoxy,A1 - Excellent,Ammonium Bifluoride
18,Fluorocarbon (FKM),A - Excellent,Ammonium Bifluoride
19,Hastelloy-C®,B - Good,Ammonium Bifluoride
20,Hypalon®,N/A,Ammonium Bifluoride
21,Hytrel®,N/A,Ammonium Bifluoride
22,Kalrez,A - Excellent,Ammonium Bifluoride
23,Kel-F®,N/A,Ammonium Bifluoride
24,LDPE,A2 - Excellent,Ammonium Bifluoride
25,Natural rubber,N/A,Ammonium Bifluoride
26,Neoprene,D - Poor,Ammonium Bifluoride
27,NORYL®,A - Excellent,Ammonium Bifluoride
28,Nylon,N/A,Ammonium Bifluoride
29,Polycarbonate,N/A,Ammonium Bifluoride
30,Polyetherether Ketone (PEEK),N/A,Ammonium Bifluoride
31,Polypropylene,A - Excellent,Ammonium Bifluoride
32,Polyurethane,N/A,Ammonium Bifluoride
33,PPS (Ryton®),N/A,Ammonium Bifluoride
34,PTFE,A - Excellent,Ammonium Bifluoride
35,PVC,A2 - Excellent,Ammonium Bifluoride
36,PVDF (Kynar®),A - Excellent,Ammonium Bifluoride
37,Silicone,N/A,Ammonium Bifluoride
38,stainless steel - 304,D - Poor,Ammonium Bifluoride
39,stainless steel - 316,B1 - Good,Ammonium Bifluoride
40,Titanium,N/A,Ammonium Bifluoride
41,Tygon®,A2 - Excellent,Ammonium Bifluoride
42,Viton®,A - Excellent,Ammonium Bifluoride
