,material,compatibility,chemical
0,,,Ammonium Carbonate
1,ABS plastic,A2 - Excellent,Ammonium Carbonate
2,Acetal (Delrin®),D - Poor,Ammonium Carbonate
3,Aluminum,B - Good,Ammonium Carbonate
4,Brass,D - Poor,Ammonium Carbonate
5,Bronze,D - Poor,Ammonium Carbonate
6,Buna N (Nitrile),B - Good,Ammonium Carbonate
7,Carbon graphite,A - Excellent,Ammonium Carbonate
8,Carbon Steel,B - Good,Ammonium Carbonate
9,Carpenter 20,B - Good,Ammonium Carbonate
10,Cast iron,B - Good,Ammonium Carbonate
11,Ceramic Al203,A - Excellent,Ammonium Carbonate
12,Ceramic magnet,A - Excellent,Ammonium Carbonate
13,ChemRaz (FFKM),A - Excellent,Ammonium Carbonate
14,Copper,D - Poor,Ammonium Carbonate
15,CPVC,A - Excellent,Ammonium Carbonate
16,EPDM,A - Excellent,Ammonium Carbonate
17,Epoxy,A2 - Excellent,Ammonium Carbonate
18,Fluorocarbon (FKM),A - Excellent,Ammonium Carbonate
19,Hastelloy-C®,B - Good,Ammonium Carbonate
20,Hypalon®,N/A,Ammonium Carbonate
21,Hytrel®,N/A,Ammonium Carbonate
22,Kalrez,A - Excellent,Ammonium Carbonate
23,Kel-F®,N/A,Ammonium Carbonate
24,LDPE,B2 - Good,Ammonium Carbonate
25,Natural rubber,A - Excellent,Ammonium Carbonate
26,Neoprene,A - Excellent,Ammonium Carbonate
27,NORYL®,A2 - Excellent,Ammonium Carbonate
28,Nylon,A1 - Excellent,Ammonium Carbonate
29,Polycarbonate,N/A,Ammonium Carbonate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Carbonate
31,Polypropylene,A - Excellent,Ammonium Carbonate
32,Polyurethane,A - Excellent,Ammonium Carbonate
33,PPS (Ryton®),A - Excellent,Ammonium Carbonate
34,PTFE,A - Excellent,Ammonium Carbonate
35,PVC,A2 - Excellent,Ammonium Carbonate
36,PVDF (Kynar®),A - Excellent,Ammonium Carbonate
37,Silicone,C - Fair,Ammonium Carbonate
38,stainless steel - 304,B - Good,Ammonium Carbonate
39,stainless steel - 316,B - Good,Ammonium Carbonate
40,Titanium,A - Excellent,Ammonium Carbonate
41,Tygon®,A2 - Excellent,Ammonium Carbonate
42,Viton®,A - Excellent,Ammonium Carbonate
