,material,compatibility,chemical
0,,,Ammonium Caseinate
1,ABS plastic,N/A,Ammonium Caseinate
2,Acetal (Delrin®),D - Poor,Ammonium Caseinate
3,Aluminum,N/A,Ammonium Caseinate
4,Brass,N/A,Ammonium Caseinate
5,Bronze,N/A,Ammonium Caseinate
6,Buna N (Nitrile),N/A,Ammonium Caseinate
7,Carbon graphite,N/A,Ammonium Caseinate
8,Carbon Steel,N/A,Ammonium Caseinate
9,Carpenter 20,N/A,Ammonium Caseinate
10,Cast iron,N/A,Ammonium Caseinate
11,Ceramic Al203,N/A,Ammonium Caseinate
12,Ceramic magnet,N/A,Ammonium Caseinate
13,ChemRaz (FFKM),N/A,Ammonium Caseinate
14,Copper,N/A,Ammonium Caseinate
15,CPVC,N/A,Ammonium Caseinate
16,EPDM,N/A,Ammonium Caseinate
17,Epoxy,A - Excellent,Ammonium Caseinate
18,Fluorocarbon (FKM),N/A,Ammonium Caseinate
19,Hastelloy-C®,N/A,Ammonium Caseinate
20,Hypalon®,N/A,Ammonium Caseinate
21,Hytrel®,N/A,Ammonium Caseinate
22,Kalrez,N/A,Ammonium Caseinate
23,Kel-F®,N/A,Ammonium Caseinate
24,LDPE,N/A,Ammonium Caseinate
25,Natural rubber,N/A,Ammonium Caseinate
26,Neoprene,A - Excellent,Ammonium Caseinate
27,NORYL®,A - Excellent,Ammonium Caseinate
28,Nylon,N/A,Ammonium Caseinate
29,Polycarbonate,N/A,Ammonium Caseinate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Caseinate
31,Polypropylene,N/A,Ammonium Caseinate
32,Polyurethane,N/A,Ammonium Caseinate
33,PPS (Ryton®),N/A,Ammonium Caseinate
34,PTFE,N/A,Ammonium Caseinate
35,PVC,N/A,Ammonium Caseinate
36,PVDF (Kynar®),N/A,Ammonium Caseinate
37,Silicone,N/A,Ammonium Caseinate
38,stainless steel - 304,N/A,Ammonium Caseinate
39,stainless steel - 316,A - Excellent,Ammonium Caseinate
40,Titanium,N/A,Ammonium Caseinate
41,Tygon®,N/A,Ammonium Caseinate
42,Viton®,N/A,Ammonium Caseinate
