,material,compatibility,chemical
0,,,Ammonium Chloride
1,ABS plastic,A2 - Excellent,Ammonium Chloride
2,Acetal (Delrin®),B - Good,Ammonium Chloride
3,Aluminum,B1 - Good,Ammonium Chloride
4,Brass,D - Poor,Ammonium Chloride
5,Bronze,D - Poor,Ammonium Chloride
6,Buna N (Nitrile),B - Good,Ammonium Chloride
7,Carbon graphite,A - Excellent,Ammonium Chloride
8,Carbon Steel,D - Poor,Ammonium Chloride
9,Carpenter 20,B - Good,Ammonium Chloride
10,Cast iron,D - Poor,Ammonium Chloride
11,Ceramic Al203,A - Excellent,Ammonium Chloride
12,Ceramic magnet,A - Excellent,Ammonium Chloride
13,ChemRaz (FFKM),N/A,Ammonium Chloride
14,Copper,D - Poor,Ammonium Chloride
15,CPVC,A2 - Excellent,Ammonium Chloride
16,EPDM,A - Excellent,Ammonium Chloride
17,Epoxy,A1 - Excellent,Ammonium Chloride
18,Fluorocarbon (FKM),A - Excellent,Ammonium Chloride
19,Hastelloy-C®,D - Poor,Ammonium Chloride
20,Hypalon®,A - Excellent,Ammonium Chloride
21,Hytrel®,A1 - Excellent,Ammonium Chloride
22,Kalrez,A - Excellent,Ammonium Chloride
23,Kel-F®,A - Excellent,Ammonium Chloride
24,LDPE,A2 - Excellent,Ammonium Chloride
25,Natural rubber,A - Excellent,Ammonium Chloride
26,Neoprene,B - Good,Ammonium Chloride
27,NORYL®,A - Excellent,Ammonium Chloride
28,Nylon,B - Good,Ammonium Chloride
29,Polycarbonate,A2 - Excellent,Ammonium Chloride
30,Polyetherether Ketone (PEEK),N/A,Ammonium Chloride
31,Polypropylene,A - Excellent,Ammonium Chloride
32,Polyurethane,B - Good,Ammonium Chloride
33,PPS (Ryton®),A - Excellent,Ammonium Chloride
34,PTFE,A - Excellent,Ammonium Chloride
35,PVC,A2 - Excellent,Ammonium Chloride
36,PVDF (Kynar®),A - Excellent,Ammonium Chloride
37,Silicone,C - Fair,Ammonium Chloride
38,stainless steel - 304,C - Fair,Ammonium Chloride
39,stainless steel - 316,B2 - Good,Ammonium Chloride
40,Titanium,B - Good,Ammonium Chloride
41,Tygon®,A2 - Excellent,Ammonium Chloride
42,Viton®,A - Excellent,Ammonium Chloride
