,material,compatibility,chemical
0,,,Ammonium Hydroxide
1,ABS plastic,B - Good,Ammonium Hydroxide
2,Acetal (Delrin®),C - Fair,Ammonium Hydroxide
3,Aluminum,B2 - Good,Ammonium Hydroxide
4,Brass,D - Poor,Ammonium Hydroxide
5,Bronze,D - Poor,Ammonium Hydroxide
6,Buna N (Nitrile),D - Poor,Ammonium Hydroxide
7,Carbon graphite,A - Excellent,Ammonium Hydroxide
8,Carbon Steel,D - Poor,Ammonium Hydroxide
9,Carpenter 20,A - Excellent,Ammonium Hydroxide
10,Cast iron,D - Poor,Ammonium Hydroxide
11,Ceramic Al203,A - Excellent,Ammonium Hydroxide
12,Ceramic magnet,A - Excellent,Ammonium Hydroxide
13,ChemRaz (FFKM),A - Excellent,Ammonium Hydroxide
14,Copper,D - Poor,Ammonium Hydroxide
15,CPVC,A - Excellent,Ammonium Hydroxide
16,EPDM,A - Excellent,Ammonium Hydroxide
17,Epoxy,A1 - Excellent,Ammonium Hydroxide
18,Fluorocarbon (FKM),B - Good,Ammonium Hydroxide
19,Hastelloy-C®,B - Good,Ammonium Hydroxide
20,Hypalon®,A - Excellent,Ammonium Hydroxide
21,Hytrel®,C - Fair,Ammonium Hydroxide
22,Kalrez,A - Excellent,Ammonium Hydroxide
23,Kel-F®,A - Excellent,Ammonium Hydroxide
24,LDPE,A1 - Excellent,Ammonium Hydroxide
25,Natural rubber,D - Poor,Ammonium Hydroxide
26,Neoprene,A - Excellent,Ammonium Hydroxide
27,NORYL®,A - Excellent,Ammonium Hydroxide
28,Nylon,A - Excellent,Ammonium Hydroxide
29,Polycarbonate,D - Poor,Ammonium Hydroxide
30,Polyetherether Ketone (PEEK),A - Excellent,Ammonium Hydroxide
31,Polypropylene,A - Excellent,Ammonium Hydroxide
32,Polyurethane,D - Poor,Ammonium Hydroxide
33,PPS (Ryton®),A - Excellent,Ammonium Hydroxide
34,PTFE,A - Excellent,Ammonium Hydroxide
35,PVC,A - Excellent,Ammonium Hydroxide
36,PVDF (Kynar®),A - Excellent,Ammonium Hydroxide
37,Silicone,A - Excellent,Ammonium Hydroxide
38,stainless steel - 304,A1 - Excellent,Ammonium Hydroxide
39,stainless steel - 316,A1 - Excellent,Ammonium Hydroxide
40,Titanium,A - Excellent,Ammonium Hydroxide
41,Tygon®,A - Excellent,Ammonium Hydroxide
42,Viton®,B - Good,Ammonium Hydroxide
