,material,compatibility,chemical
0,,,Ammonium Nitrate
1,ABS plastic,N/A,Ammonium Nitrate
2,Acetal (Delrin®),A2 - Excellent,Ammonium Nitrate
3,Aluminum,B1 - Good,Ammonium Nitrate
4,Brass,D - Poor,Ammonium Nitrate
5,Bronze,D - Poor,Ammonium Nitrate
6,Buna N (Nitrile),A - Excellent,Ammonium Nitrate
7,Carbon graphite,A - Excellent,Ammonium Nitrate
8,Carbon Steel,D - Poor,Ammonium Nitrate
9,Carpenter 20,A - Excellent,Ammonium Nitrate
10,Cast iron,B - Good,Ammonium Nitrate
11,Ceramic Al203,A - Excellent,Ammonium Nitrate
12,Ceramic magnet,N/A,Ammonium Nitrate
13,ChemRaz (FFKM),A - Excellent,Ammonium Nitrate
14,Copper,D - Poor,Ammonium Nitrate
15,CPVC,A2 - Excellent,Ammonium Nitrate
16,EPDM,A - Excellent,Ammonium Nitrate
17,Epoxy,A2 - Excellent,Ammonium Nitrate
18,Fluorocarbon (FKM),A - Excellent,Ammonium Nitrate
19,Hastelloy-C®,B - Good,Ammonium Nitrate
20,Hypalon®,A - Excellent,Ammonium Nitrate
21,Hytrel®,B1 - Good,Ammonium Nitrate
22,Kalrez,A - Excellent,Ammonium Nitrate
23,Kel-F®,A - Excellent,Ammonium Nitrate
24,LDPE,A1 - Excellent,Ammonium Nitrate
25,Natural rubber,C - Fair,Ammonium Nitrate
26,Neoprene,B - Good,Ammonium Nitrate
27,NORYL®,A - Excellent,Ammonium Nitrate
28,Nylon,A1 - Excellent,Ammonium Nitrate
29,Polycarbonate,N/A,Ammonium Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Ammonium Nitrate
31,Polypropylene,A - Excellent,Ammonium Nitrate
32,Polyurethane,D - Poor,Ammonium Nitrate
33,PPS (Ryton®),A - Excellent,Ammonium Nitrate
34,PTFE,A - Excellent,Ammonium Nitrate
35,PVC,A2 - Excellent,Ammonium Nitrate
36,PVDF (Kynar®),A - Excellent,Ammonium Nitrate
37,Silicone,C - Fair,Ammonium Nitrate
38,stainless steel - 304,A1 - Excellent,Ammonium Nitrate
39,stainless steel - 316,A - Excellent,Ammonium Nitrate
40,Titanium,A - Excellent,Ammonium Nitrate
41,Tygon®,A2 - Excellent,Ammonium Nitrate
42,Viton®,A - Excellent,Ammonium Nitrate
