,material,compatibility,chemical
0,,,Ammonium Oxalate
1,ABS plastic,N/A,Ammonium Oxalate
2,Acetal (Delrin®),B - Good,Ammonium Oxalate
3,Aluminum,N/A,Ammonium Oxalate
4,Brass,N/A,Ammonium Oxalate
5,Bronze,D - Poor,Ammonium Oxalate
6,Buna N (Nitrile),D - Poor,Ammonium Oxalate
7,Carbon graphite,N/A,Ammonium Oxalate
8,Carbon Steel,N/A,Ammonium Oxalate
9,Carpenter 20,A - Excellent,Ammonium Oxalate
10,Cast iron,D - Poor,Ammonium Oxalate
11,Ceramic Al203,N/A,Ammonium Oxalate
12,Ceramic magnet,N/A,Ammonium Oxalate
13,ChemRaz (FFKM),A - Excellent,Ammonium Oxalate
14,Copper,C - Fair,Ammonium Oxalate
15,CPVC,N/A,Ammonium Oxalate
16,EPDM,A - Excellent,Ammonium Oxalate
17,Epoxy,A - Excellent,Ammonium Oxalate
18,Fluorocarbon (FKM),N/A,Ammonium Oxalate
19,Hastelloy-C®,A - Excellent,Ammonium Oxalate
20,Hypalon®,N/A,Ammonium Oxalate
21,Hytrel®,N/A,Ammonium Oxalate
22,Kalrez,A - Excellent,Ammonium Oxalate
23,Kel-F®,N/A,Ammonium Oxalate
24,LDPE,N/A,Ammonium Oxalate
25,Natural rubber,N/A,Ammonium Oxalate
26,Neoprene,A - Excellent,Ammonium Oxalate
27,NORYL®,N/A,Ammonium Oxalate
28,Nylon,N/A,Ammonium Oxalate
29,Polycarbonate,A1 - Excellent,Ammonium Oxalate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Oxalate
31,Polypropylene,A - Excellent,Ammonium Oxalate
32,Polyurethane,N/A,Ammonium Oxalate
33,PPS (Ryton®),N/A,Ammonium Oxalate
34,PTFE,N/A,Ammonium Oxalate
35,PVC,A - Excellent,Ammonium Oxalate
36,PVDF (Kynar®),N/A,Ammonium Oxalate
37,Silicone,N/A,Ammonium Oxalate
38,stainless steel - 304,A - Excellent,Ammonium Oxalate
39,stainless steel - 316,A - Excellent,Ammonium Oxalate
40,Titanium,N/A,Ammonium Oxalate
41,Tygon®,A - Excellent,Ammonium Oxalate
42,Viton®,N/A,Ammonium Oxalate
