,material,compatibility,chemical
0,,,Ammonium Persulfate
1,ABS plastic,N/A,Ammonium Persulfate
2,Acetal (Delrin®),B - Good,Ammonium Persulfate
3,Aluminum,N/A,Ammonium Persulfate
4,Brass,N/A,Ammonium Persulfate
5,Bronze,D - Poor,Ammonium Persulfate
6,Buna N (Nitrile),D - Poor,Ammonium Persulfate
7,Carbon graphite,N/A,Ammonium Persulfate
8,Carbon Steel,N/A,Ammonium Persulfate
9,Carpenter 20,A - Excellent,Ammonium Persulfate
10,Cast iron,D - Poor,Ammonium Persulfate
11,Ceramic Al203,N/A,Ammonium Persulfate
12,Ceramic magnet,N/A,Ammonium Persulfate
13,ChemRaz (FFKM),A - Excellent,Ammonium Persulfate
14,Copper,C - Fair,Ammonium Persulfate
15,CPVC,N/A,Ammonium Persulfate
16,EPDM,A - Excellent,Ammonium Persulfate
17,Epoxy,A - Excellent,Ammonium Persulfate
18,Fluorocarbon (FKM),N/A,Ammonium Persulfate
19,Hastelloy-C®,A - Excellent,Ammonium Persulfate
20,Hypalon®,N/A,Ammonium Persulfate
21,Hytrel®,N/A,Ammonium Persulfate
22,Kalrez,A - Excellent,Ammonium Persulfate
23,Kel-F®,N/A,Ammonium Persulfate
24,LDPE,N/A,Ammonium Persulfate
25,Natural rubber,N/A,Ammonium Persulfate
26,Neoprene,A - Excellent,Ammonium Persulfate
27,NORYL®,N/A,Ammonium Persulfate
28,Nylon,N/A,Ammonium Persulfate
29,Polycarbonate,A1 - Excellent,Ammonium Persulfate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Persulfate
31,Polypropylene,A - Excellent,Ammonium Persulfate
32,Polyurethane,N/A,Ammonium Persulfate
33,PPS (Ryton®),N/A,Ammonium Persulfate
34,PTFE,N/A,Ammonium Persulfate
35,PVC,A - Excellent,Ammonium Persulfate
36,PVDF (Kynar®),N/A,Ammonium Persulfate
37,Silicone,N/A,Ammonium Persulfate
38,stainless steel - 304,A - Excellent,Ammonium Persulfate
39,stainless steel - 316,A - Excellent,Ammonium Persulfate
40,Titanium,N/A,Ammonium Persulfate
41,Tygon®,A - Excellent,Ammonium Persulfate
42,Viton®,N/A,Ammonium Persulfate
