,material,compatibility,chemical
0,,,"Ammonium Phosphate, Dibasic"
1,ABS plastic,A2 - Excellent,"Ammonium Phosphate, Dibasic"
2,Acetal (Delrin®),B2 - Good,"Ammonium Phosphate, Dibasic"
3,Aluminum,B1 - Good,"Ammonium Phosphate, Dibasic"
4,Brass,B1 - Good,"Ammonium Phosphate, Dibasic"
5,Bronze,D - Poor,"Ammonium Phosphate, Dibasic"
6,Buna N (Nitrile),A - Excellent,"Ammonium Phosphate, Dibasic"
7,Carbon graphite,A - Excellent,"Ammonium Phosphate, Dibasic"
8,Carbon Steel,D - Poor,"Ammonium Phosphate, Dibasic"
9,Carpenter 20,A1 - Excellent,"Ammonium Phosphate, Dibasic"
10,Cast iron,D - Poor,"Ammonium Phosphate, Dibasic"
11,Ceramic Al203,N/A,"Ammonium Phosphate, Dibasic"
12,Ceramic magnet,N/A,"Ammonium Phosphate, Dibasic"
13,ChemRaz (FFKM),A - Excellent,"Ammonium Phosphate, Dibasic"
14,Copper,D - Poor,"Ammonium Phosphate, Dibasic"
15,CPVC,A - Excellent,"Ammonium Phosphate, Dibasic"
16,EPDM,A - Excellent,"Ammonium Phosphate, Dibasic"
17,Epoxy,A1 - Excellent,"Ammonium Phosphate, Dibasic"
18,Fluorocarbon (FKM),A - Excellent,"Ammonium Phosphate, Dibasic"
19,Hastelloy-C®,B - Good,"Ammonium Phosphate, Dibasic"
20,Hypalon®,A - Excellent,"Ammonium Phosphate, Dibasic"
21,Hytrel®,N/A,"Ammonium Phosphate, Dibasic"
22,Kalrez,A - Excellent,"Ammonium Phosphate, Dibasic"
23,Kel-F®,A - Excellent,"Ammonium Phosphate, Dibasic"
24,LDPE,A2 - Excellent,"Ammonium Phosphate, Dibasic"
25,Natural rubber,A - Excellent,"Ammonium Phosphate, Dibasic"
26,Neoprene,A - Excellent,"Ammonium Phosphate, Dibasic"
27,NORYL®,A - Excellent,"Ammonium Phosphate, Dibasic"
28,Nylon,C1 - Fair,"Ammonium Phosphate, Dibasic"
29,Polycarbonate,A2 - Excellent,"Ammonium Phosphate, Dibasic"
30,Polyetherether Ketone (PEEK),N/A,"Ammonium Phosphate, Dibasic"
31,Polypropylene,A - Excellent,"Ammonium Phosphate, Dibasic"
32,Polyurethane,N/A,"Ammonium Phosphate, Dibasic"
33,PPS (Ryton®),A - Excellent,"Ammonium Phosphate, Dibasic"
34,PTFE,A2 - Excellent,"Ammonium Phosphate, Dibasic"
35,PVC,A2 - Excellent,"Ammonium Phosphate, Dibasic"
36,PVDF (Kynar®),A - Excellent,"Ammonium Phosphate, Dibasic"
37,Silicone,A - Excellent,"Ammonium Phosphate, Dibasic"
38,stainless steel - 304,B - Good,"Ammonium Phosphate, Dibasic"
39,stainless steel - 316,C - Fair,"Ammonium Phosphate, Dibasic"
40,Titanium,A - Excellent,"Ammonium Phosphate, Dibasic"
41,Tygon®,A2 - Excellent,"Ammonium Phosphate, Dibasic"
42,Viton®,A - Excellent,"Ammonium Phosphate, Dibasic"
