,material,compatibility,chemical
0,,,"Ammonium Phosphate, Monobasic"
1,ABS plastic,N/A,"Ammonium Phosphate, Monobasic"
2,Acetal (Delrin®),B - Good,"Ammonium Phosphate, Monobasic"
3,Aluminum,B - Good,"Ammonium Phosphate, Monobasic"
4,Brass,N/A,"Ammonium Phosphate, Monobasic"
5,Bronze,D - Poor,"Ammonium Phosphate, Monobasic"
6,Buna N (Nitrile),A - Excellent,"Ammonium Phosphate, Monobasic"
7,Carbon graphite,N/A,"Ammonium Phosphate, Monobasic"
8,Carbon Steel,N/A,"Ammonium Phosphate, Monobasic"
9,Carpenter 20,C - Fair,"Ammonium Phosphate, Monobasic"
10,Cast iron,D - Poor,"Ammonium Phosphate, Monobasic"
11,Ceramic Al203,N/A,"Ammonium Phosphate, Monobasic"
12,Ceramic magnet,N/A,"Ammonium Phosphate, Monobasic"
13,ChemRaz (FFKM),A - Excellent,"Ammonium Phosphate, Monobasic"
14,Copper,D - Poor,"Ammonium Phosphate, Monobasic"
15,CPVC,A - Excellent,"Ammonium Phosphate, Monobasic"
16,EPDM,A - Excellent,"Ammonium Phosphate, Monobasic"
17,Epoxy,A - Excellent,"Ammonium Phosphate, Monobasic"
18,Fluorocarbon (FKM),A - Excellent,"Ammonium Phosphate, Monobasic"
19,Hastelloy-C®,B - Good,"Ammonium Phosphate, Monobasic"
20,Hypalon®,A - Excellent,"Ammonium Phosphate, Monobasic"
21,Hytrel®,B1 - Good,"Ammonium Phosphate, Monobasic"
22,Kalrez,A - Excellent,"Ammonium Phosphate, Monobasic"
23,Kel-F®,N/A,"Ammonium Phosphate, Monobasic"
24,LDPE,A - Excellent,"Ammonium Phosphate, Monobasic"
25,Natural rubber,A - Excellent,"Ammonium Phosphate, Monobasic"
26,Neoprene,A - Excellent,"Ammonium Phosphate, Monobasic"
27,NORYL®,A - Excellent,"Ammonium Phosphate, Monobasic"
28,Nylon,B - Good,"Ammonium Phosphate, Monobasic"
29,Polycarbonate,N/A,"Ammonium Phosphate, Monobasic"
30,Polyetherether Ketone (PEEK),N/A,"Ammonium Phosphate, Monobasic"
31,Polypropylene,A - Excellent,"Ammonium Phosphate, Monobasic"
32,Polyurethane,B - Good,"Ammonium Phosphate, Monobasic"
33,PPS (Ryton®),N/A,"Ammonium Phosphate, Monobasic"
34,PTFE,A - Excellent,"Ammonium Phosphate, Monobasic"
35,PVC,A - Excellent,"Ammonium Phosphate, Monobasic"
36,PVDF (Kynar®),N/A,"Ammonium Phosphate, Monobasic"
37,Silicone,A - Excellent,"Ammonium Phosphate, Monobasic"
38,stainless steel - 304,B - Good,"Ammonium Phosphate, Monobasic"
39,stainless steel - 316,C - Fair,"Ammonium Phosphate, Monobasic"
40,Titanium,A - Excellent,"Ammonium Phosphate, Monobasic"
41,Tygon®,A - Excellent,"Ammonium Phosphate, Monobasic"
42,Viton®,A - Excellent,"Ammonium Phosphate, Monobasic"
