,material,compatibility,chemical
0,,,"Ammonium Phosphate, Tribasic"
1,ABS plastic,N/A,"Ammonium Phosphate, Tribasic"
2,Acetal (Delrin®),B - Good,"Ammonium Phosphate, Tribasic"
3,Aluminum,B - Good,"Ammonium Phosphate, Tribasic"
4,Brass,N/A,"Ammonium Phosphate, Tribasic"
5,Bronze,C - Fair,"Ammonium Phosphate, Tribasic"
6,Buna N (Nitrile),A - Excellent,"Ammonium Phosphate, Tribasic"
7,Carbon graphite,N/A,"Ammonium Phosphate, Tribasic"
8,Carbon Steel,N/A,"Ammonium Phosphate, Tribasic"
9,Carpenter 20,N/A,"Ammonium Phosphate, Tribasic"
10,Cast iron,D - Poor,"Ammonium Phosphate, Tribasic"
11,Ceramic Al203,N/A,"Ammonium Phosphate, Tribasic"
12,Ceramic magnet,N/A,"Ammonium Phosphate, Tribasic"
13,ChemRaz (FFKM),A - Excellent,"Ammonium Phosphate, Tribasic"
14,Copper,D - Poor,"Ammonium Phosphate, Tribasic"
15,CPVC,A - Excellent,"Ammonium Phosphate, Tribasic"
16,EPDM,A - Excellent,"Ammonium Phosphate, Tribasic"
17,Epoxy,A - Excellent,"Ammonium Phosphate, Tribasic"
18,Fluorocarbon (FKM),A - Excellent,"Ammonium Phosphate, Tribasic"
19,Hastelloy-C®,B - Good,"Ammonium Phosphate, Tribasic"
20,Hypalon®,A - Excellent,"Ammonium Phosphate, Tribasic"
21,Hytrel®,N/A,"Ammonium Phosphate, Tribasic"
22,Kalrez,A - Excellent,"Ammonium Phosphate, Tribasic"
23,Kel-F®,N/A,"Ammonium Phosphate, Tribasic"
24,LDPE,C - Fair,"Ammonium Phosphate, Tribasic"
25,Natural rubber,A - Excellent,"Ammonium Phosphate, Tribasic"
26,Neoprene,A - Excellent,"Ammonium Phosphate, Tribasic"
27,NORYL®,A - Excellent,"Ammonium Phosphate, Tribasic"
28,Nylon,B - Good,"Ammonium Phosphate, Tribasic"
29,Polycarbonate,N/A,"Ammonium Phosphate, Tribasic"
30,Polyetherether Ketone (PEEK),N/A,"Ammonium Phosphate, Tribasic"
31,Polypropylene,A - Excellent,"Ammonium Phosphate, Tribasic"
32,Polyurethane,N/A,"Ammonium Phosphate, Tribasic"
33,PPS (Ryton®),N/A,"Ammonium Phosphate, Tribasic"
34,PTFE,A - Excellent,"Ammonium Phosphate, Tribasic"
35,PVC,A - Excellent,"Ammonium Phosphate, Tribasic"
36,PVDF (Kynar®),N/A,"Ammonium Phosphate, Tribasic"
37,Silicone,A - Excellent,"Ammonium Phosphate, Tribasic"
38,stainless steel - 304,B - Good,"Ammonium Phosphate, Tribasic"
39,stainless steel - 316,B - Good,"Ammonium Phosphate, Tribasic"
40,Titanium,A - Excellent,"Ammonium Phosphate, Tribasic"
41,Tygon®,A - Excellent,"Ammonium Phosphate, Tribasic"
42,Viton®,A - Excellent,"Ammonium Phosphate, Tribasic"
