,material,compatibility,chemical
0,,,Ammonium Sulfate
1,ABS plastic,A2 - Excellent,Ammonium Sulfate
2,Acetal (Delrin®),B1 - Good,Ammonium Sulfate
3,Aluminum,A1 - Excellent,Ammonium Sulfate
4,Brass,D - Poor,Ammonium Sulfate
5,Bronze,D - Poor,Ammonium Sulfate
6,Buna N (Nitrile),A - Excellent,Ammonium Sulfate
7,Carbon graphite,A - Excellent,Ammonium Sulfate
8,Carbon Steel,D - Poor,Ammonium Sulfate
9,Carpenter 20,B - Good,Ammonium Sulfate
10,Cast iron,D - Poor,Ammonium Sulfate
11,Ceramic Al203,A - Excellent,Ammonium Sulfate
12,Ceramic magnet,A - Excellent,Ammonium Sulfate
13,ChemRaz (FFKM),A - Excellent,Ammonium Sulfate
14,Copper,D - Poor,Ammonium Sulfate
15,CPVC,A - Excellent,Ammonium Sulfate
16,EPDM,A - Excellent,Ammonium Sulfate
17,Epoxy,A2 - Excellent,Ammonium Sulfate
18,Fluorocarbon (FKM),D - Poor,Ammonium Sulfate
19,Hastelloy-C®,B - Good,Ammonium Sulfate
20,Hypalon®,A - Excellent,Ammonium Sulfate
21,Hytrel®,B1 - Good,Ammonium Sulfate
22,Kalrez,A - Excellent,Ammonium Sulfate
23,Kel-F®,A - Excellent,Ammonium Sulfate
24,LDPE,A1 - Excellent,Ammonium Sulfate
25,Natural rubber,A - Excellent,Ammonium Sulfate
26,Neoprene,A - Excellent,Ammonium Sulfate
27,NORYL®,A - Excellent,Ammonium Sulfate
28,Nylon,A1 - Excellent,Ammonium Sulfate
29,Polycarbonate,A2 - Excellent,Ammonium Sulfate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Sulfate
31,Polypropylene,A - Excellent,Ammonium Sulfate
32,Polyurethane,A - Excellent,Ammonium Sulfate
33,PPS (Ryton®),A - Excellent,Ammonium Sulfate
34,PTFE,A - Excellent,Ammonium Sulfate
35,PVC,A2 - Excellent,Ammonium Sulfate
36,PVDF (Kynar®),A - Excellent,Ammonium Sulfate
37,Silicone,A - Excellent,Ammonium Sulfate
38,stainless steel - 304,B - Good,Ammonium Sulfate
39,stainless steel - 316,B - Good,Ammonium Sulfate
40,Titanium,A - Excellent,Ammonium Sulfate
41,Tygon®,A2 - Excellent,Ammonium Sulfate
42,Viton®,A - Excellent,Ammonium Sulfate
