,material,compatibility,chemical
0,,,Ammonium Sulfite
1,ABS plastic,N/A,Ammonium Sulfite
2,Acetal (Delrin®),D - Poor,Ammonium Sulfite
3,Aluminum,D - Poor,Ammonium Sulfite
4,Brass,N/A,Ammonium Sulfite
5,Bronze,A - Excellent,Ammonium Sulfite
6,Buna N (Nitrile),A1 - Excellent,Ammonium Sulfite
7,Carbon graphite,D - Poor,Ammonium Sulfite
8,Carbon Steel,D - Poor,Ammonium Sulfite
9,Carpenter 20,A - Excellent,Ammonium Sulfite
10,Cast iron,D - Poor,Ammonium Sulfite
11,Ceramic Al203,N/A,Ammonium Sulfite
12,Ceramic magnet,N/A,Ammonium Sulfite
13,ChemRaz (FFKM),A - Excellent,Ammonium Sulfite
14,Copper,D - Poor,Ammonium Sulfite
15,CPVC,A - Excellent,Ammonium Sulfite
16,EPDM,A1 - Excellent,Ammonium Sulfite
17,Epoxy,N/A,Ammonium Sulfite
18,Fluorocarbon (FKM),A - Excellent,Ammonium Sulfite
19,Hastelloy-C®,N/A,Ammonium Sulfite
20,Hypalon®,A2 - Excellent,Ammonium Sulfite
21,Hytrel®,B1 - Good,Ammonium Sulfite
22,Kalrez,A - Excellent,Ammonium Sulfite
23,Kel-F®,A2 - Excellent,Ammonium Sulfite
24,LDPE,B2 - Good,Ammonium Sulfite
25,Natural rubber,A2 - Excellent,Ammonium Sulfite
26,Neoprene,A1 - Excellent,Ammonium Sulfite
27,NORYL®,A2 - Excellent,Ammonium Sulfite
28,Nylon,A1 - Excellent,Ammonium Sulfite
29,Polycarbonate,N/A,Ammonium Sulfite
30,Polyetherether Ketone (PEEK),N/A,Ammonium Sulfite
31,Polypropylene,A2 - Excellent,Ammonium Sulfite
32,Polyurethane,N/A,Ammonium Sulfite
33,PPS (Ryton®),N/A,Ammonium Sulfite
34,PTFE,A2 - Excellent,Ammonium Sulfite
35,PVC,A2 - Excellent,Ammonium Sulfite
36,PVDF (Kynar®),N/A,Ammonium Sulfite
37,Silicone,N/A,Ammonium Sulfite
38,stainless steel - 304,B - Good,Ammonium Sulfite
39,stainless steel - 316,B - Good,Ammonium Sulfite
40,Titanium,N/A,Ammonium Sulfite
41,Tygon®,A2 - Excellent,Ammonium Sulfite
42,Viton®,D - Poor,Ammonium Sulfite
