,material,compatibility,chemical
0,,,Ammonium Thiosulfate
1,ABS plastic,N/A,Ammonium Thiosulfate
2,Acetal (Delrin®),B - Good,Ammonium Thiosulfate
3,Aluminum,N/A,Ammonium Thiosulfate
4,Brass,D - Poor,Ammonium Thiosulfate
5,Bronze,D - Poor,Ammonium Thiosulfate
6,Buna N (Nitrile),A - Excellent,Ammonium Thiosulfate
7,Carbon graphite,N/A,Ammonium Thiosulfate
8,Carbon Steel,N/A,Ammonium Thiosulfate
9,Carpenter 20,N/A,Ammonium Thiosulfate
10,Cast iron,D - Poor,Ammonium Thiosulfate
11,Ceramic Al203,N/A,Ammonium Thiosulfate
12,Ceramic magnet,N/A,Ammonium Thiosulfate
13,ChemRaz (FFKM),A - Excellent,Ammonium Thiosulfate
14,Copper,D - Poor,Ammonium Thiosulfate
15,CPVC,N/A,Ammonium Thiosulfate
16,EPDM,A1 - Excellent,Ammonium Thiosulfate
17,Epoxy,A - Excellent,Ammonium Thiosulfate
18,Fluorocarbon (FKM),A - Excellent,Ammonium Thiosulfate
19,Hastelloy-C®,N/A,Ammonium Thiosulfate
20,Hypalon®,N/A,Ammonium Thiosulfate
21,Hytrel®,N/A,Ammonium Thiosulfate
22,Kalrez,A - Excellent,Ammonium Thiosulfate
23,Kel-F®,N/A,Ammonium Thiosulfate
24,LDPE,A - Excellent,Ammonium Thiosulfate
25,Natural rubber,N/A,Ammonium Thiosulfate
26,Neoprene,A - Excellent,Ammonium Thiosulfate
27,NORYL®,N/A,Ammonium Thiosulfate
28,Nylon,N/A,Ammonium Thiosulfate
29,Polycarbonate,N/A,Ammonium Thiosulfate
30,Polyetherether Ketone (PEEK),N/A,Ammonium Thiosulfate
31,Polypropylene,N/A,Ammonium Thiosulfate
32,Polyurethane,N/A,Ammonium Thiosulfate
33,PPS (Ryton®),N/A,Ammonium Thiosulfate
34,PTFE,N/A,Ammonium Thiosulfate
35,PVC,N/A,Ammonium Thiosulfate
36,PVDF (Kynar®),N/A,Ammonium Thiosulfate
37,Silicone,N/A,Ammonium Thiosulfate
38,stainless steel - 304,N/A,Ammonium Thiosulfate
39,stainless steel - 316,A - Excellent,Ammonium Thiosulfate
40,Titanium,A - Excellent,Ammonium Thiosulfate
41,Tygon®,N/A,Ammonium Thiosulfate
42,Viton®,N/A,Ammonium Thiosulfate
