,material,compatibility,chemical
0,,,Amyl Acetate
1,ABS plastic,D - Poor,Amyl Acetate
2,Acetal (Delrin®),B1 - Good,Amyl Acetate
3,Aluminum,A - Excellent,Amyl Acetate
4,Brass,A - Excellent,Amyl Acetate
5,Bronze,A - Excellent,Amyl Acetate
6,Buna N (Nitrile),D - Poor,Amyl Acetate
7,Carbon graphite,A - Excellent,Amyl Acetate
8,Carbon Steel,C - Fair,Amyl Acetate
9,Carpenter 20,A - Excellent,Amyl Acetate
10,Cast iron,C - Fair,Amyl Acetate
11,Ceramic Al203,A - Excellent,Amyl Acetate
12,Ceramic magnet,N/A,Amyl Acetate
13,ChemRaz (FFKM),A - Excellent,Amyl Acetate
14,Copper,A - Excellent,Amyl Acetate
15,CPVC,D - Poor,Amyl Acetate
16,EPDM,A - Excellent,Amyl Acetate
17,Epoxy,A2 - Excellent,Amyl Acetate
18,Fluorocarbon (FKM),D - Poor,Amyl Acetate
19,Hastelloy-C®,A - Excellent,Amyl Acetate
20,Hypalon®,D - Poor,Amyl Acetate
21,Hytrel®,C1 - Fair,Amyl Acetate
22,Kalrez,A - Excellent,Amyl Acetate
23,Kel-F®,A1 - Excellent,Amyl Acetate
24,LDPE,C1 - Fair,Amyl Acetate
25,Natural rubber,D - Poor,Amyl Acetate
26,Neoprene,D - Poor,Amyl Acetate
27,NORYL®,D - Poor,Amyl Acetate
28,Nylon,B2 - Good,Amyl Acetate
29,Polycarbonate,D - Poor,Amyl Acetate
30,Polyetherether Ketone (PEEK),A - Excellent,Amyl Acetate
31,Polypropylene,B1 - Good,Amyl Acetate
32,Polyurethane,D - Poor,Amyl Acetate
33,PPS (Ryton®),A - Excellent,Amyl Acetate
34,PTFE,A - Excellent,Amyl Acetate
35,PVC,D - Poor,Amyl Acetate
36,PVDF (Kynar®),A2 - Excellent,Amyl Acetate
37,Silicone,D - Poor,Amyl Acetate
38,stainless steel - 304,A1 - Excellent,Amyl Acetate
39,stainless steel - 316,A - Excellent,Amyl Acetate
40,Titanium,A - Excellent,Amyl Acetate
41,Tygon®,D - Poor,Amyl Acetate
42,Viton®,D - Poor,Amyl Acetate
