,material,compatibility,chemical
0,,,Amyl Alcohol
1,ABS plastic,A1 - Excellent,Amyl Alcohol
2,Acetal (Delrin®),A - Excellent,Amyl Alcohol
3,Aluminum,B - Good,Amyl Alcohol
4,Brass,A1 - Excellent,Amyl Alcohol
5,Bronze,A - Excellent,Amyl Alcohol
6,Buna N (Nitrile),B - Good,Amyl Alcohol
7,Carbon graphite,A - Excellent,Amyl Alcohol
8,Carbon Steel,B - Good,Amyl Alcohol
9,Carpenter 20,A - Excellent,Amyl Alcohol
10,Cast iron,B - Good,Amyl Alcohol
11,Ceramic Al203,A - Excellent,Amyl Alcohol
12,Ceramic magnet,N/A,Amyl Alcohol
13,ChemRaz (FFKM),A - Excellent,Amyl Alcohol
14,Copper,A - Excellent,Amyl Alcohol
15,CPVC,A2 - Excellent,Amyl Alcohol
16,EPDM,A - Excellent,Amyl Alcohol
17,Epoxy,B2 - Good,Amyl Alcohol
18,Fluorocarbon (FKM),A - Excellent,Amyl Alcohol
19,Hastelloy-C®,A - Excellent,Amyl Alcohol
20,Hypalon®,A - Excellent,Amyl Alcohol
21,Hytrel®,A1 - Excellent,Amyl Alcohol
22,Kalrez,A - Excellent,Amyl Alcohol
23,Kel-F®,A - Excellent,Amyl Alcohol
24,LDPE,B2 - Good,Amyl Alcohol
25,Natural rubber,B - Good,Amyl Alcohol
26,Neoprene,A - Excellent,Amyl Alcohol
27,NORYL®,C - Fair,Amyl Alcohol
28,Nylon,A1 - Excellent,Amyl Alcohol
29,Polycarbonate,B1 - Good,Amyl Alcohol
30,Polyetherether Ketone (PEEK),A - Excellent,Amyl Alcohol
31,Polypropylene,B1 - Good,Amyl Alcohol
32,Polyurethane,D - Poor,Amyl Alcohol
33,PPS (Ryton®),A - Excellent,Amyl Alcohol
34,PTFE,A - Excellent,Amyl Alcohol
35,PVC,A2 - Excellent,Amyl Alcohol
36,PVDF (Kynar®),A - Excellent,Amyl Alcohol
37,Silicone,D - Poor,Amyl Alcohol
38,stainless steel - 304,A - Excellent,Amyl Alcohol
39,stainless steel - 316,A - Excellent,Amyl Alcohol
40,Titanium,B - Good,Amyl Alcohol
41,Tygon®,D - Poor,Amyl Alcohol
42,Viton®,A - Excellent,Amyl Alcohol
