,material,compatibility,chemical
0,,,Aniline Hydrochloride
1,ABS plastic,D - Poor,Aniline Hydrochloride
2,Acetal (Delrin®),N/A,Aniline Hydrochloride
3,Aluminum,D - Poor,Aniline Hydrochloride
4,Brass,D - Poor,Aniline Hydrochloride
5,Bronze,D - Poor,Aniline Hydrochloride
6,Buna N (Nitrile),D - Poor,Aniline Hydrochloride
7,Carbon graphite,D - Poor,Aniline Hydrochloride
8,Carbon Steel,D - Poor,Aniline Hydrochloride
9,Carpenter 20,B - Good,Aniline Hydrochloride
10,Cast iron,D - Poor,Aniline Hydrochloride
11,Ceramic Al203,N/A,Aniline Hydrochloride
12,Ceramic magnet,N/A,Aniline Hydrochloride
13,ChemRaz (FFKM),A - Excellent,Aniline Hydrochloride
14,Copper,B - Good,Aniline Hydrochloride
15,CPVC,D - Poor,Aniline Hydrochloride
16,EPDM,B - Good,Aniline Hydrochloride
17,Epoxy,D - Poor,Aniline Hydrochloride
18,Fluorocarbon (FKM),B - Good,Aniline Hydrochloride
19,Hastelloy-C®,D - Poor,Aniline Hydrochloride
20,Hypalon®,N/A,Aniline Hydrochloride
21,Hytrel®,N/A,Aniline Hydrochloride
22,Kalrez,A - Excellent,Aniline Hydrochloride
23,Kel-F®,N/A,Aniline Hydrochloride
24,LDPE,D - Poor,Aniline Hydrochloride
25,Natural rubber,A - Excellent,Aniline Hydrochloride
26,Neoprene,D - Poor,Aniline Hydrochloride
27,NORYL®,N/A,Aniline Hydrochloride
28,Nylon,D - Poor,Aniline Hydrochloride
29,Polycarbonate,D - Poor,Aniline Hydrochloride
30,Polyetherether Ketone (PEEK),N/A,Aniline Hydrochloride
31,Polypropylene,D - Poor,Aniline Hydrochloride
32,Polyurethane,D - Poor,Aniline Hydrochloride
33,PPS (Ryton®),N/A,Aniline Hydrochloride
34,PTFE,A - Excellent,Aniline Hydrochloride
35,PVC,B2 - Good,Aniline Hydrochloride
36,PVDF (Kynar®),A2 - Excellent,Aniline Hydrochloride
37,Silicone,D - Poor,Aniline Hydrochloride
38,stainless steel - 304,D - Poor,Aniline Hydrochloride
39,stainless steel - 316,D - Poor,Aniline Hydrochloride
40,Titanium,A - Excellent,Aniline Hydrochloride
41,Tygon®,D - Poor,Aniline Hydrochloride
42,Viton®,A - Excellent,Aniline Hydrochloride
