,material,compatibility,chemical
0,,,Antifreeze
1,ABS plastic,B - Good,Antifreeze
2,Acetal (Delrin®),D - Poor,Antifreeze
3,Aluminum,A - Excellent,Antifreeze
4,Brass,N/A,Antifreeze
5,Bronze,A - Excellent,Antifreeze
6,Buna N (Nitrile),A - Excellent,Antifreeze
7,Carbon graphite,N/A,Antifreeze
8,Carbon Steel,N/A,Antifreeze
9,Carpenter 20,A - Excellent,Antifreeze
10,Cast iron,A - Excellent,Antifreeze
11,Ceramic Al203,N/A,Antifreeze
12,Ceramic magnet,N/A,Antifreeze
13,ChemRaz (FFKM),N/A,Antifreeze
14,Copper,N/A,Antifreeze
15,CPVC,A - Excellent,Antifreeze
16,EPDM,A - Excellent,Antifreeze
17,Epoxy,A - Excellent,Antifreeze
18,Fluorocarbon (FKM),A - Excellent,Antifreeze
19,Hastelloy-C®,N/A,Antifreeze
20,Hypalon®,N/A,Antifreeze
21,Hytrel®,N/A,Antifreeze
22,Kalrez,A - Excellent,Antifreeze
23,Kel-F®,N/A,Antifreeze
24,LDPE,N/A,Antifreeze
25,Natural rubber,A - Excellent,Antifreeze
26,Neoprene,C - Fair,Antifreeze
27,NORYL®,A - Excellent,Antifreeze
28,Nylon,D - Poor,Antifreeze
29,Polycarbonate,N/A,Antifreeze
30,Polyetherether Ketone (PEEK),A - Excellent,Antifreeze
31,Polypropylene,D - Poor,Antifreeze
32,Polyurethane,D - Poor,Antifreeze
33,PPS (Ryton®),N/A,Antifreeze
34,PTFE,N/A,Antifreeze
35,PVC,A - Excellent,Antifreeze
36,PVDF (Kynar®),N/A,Antifreeze
37,Silicone,C - Fair,Antifreeze
38,stainless steel - 304,N/A,Antifreeze
39,stainless steel - 316,A - Excellent,Antifreeze
40,Titanium,N/A,Antifreeze
41,Tygon®,B - Good,Antifreeze
42,Viton®,A - Excellent,Antifreeze
