,material,compatibility,chemical
0,,,"Aqua Regia (80% HCl, 20% HNO3)"
1,ABS plastic,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
2,Acetal (Delrin®),D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
3,Aluminum,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
4,Brass,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
5,Bronze,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
6,Buna N (Nitrile),D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
7,Carbon graphite,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
8,Carbon Steel,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
9,Carpenter 20,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
10,Cast iron,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
11,Ceramic Al203,N/A,"Aqua Regia (80% HCl, 20% HNO3)"
12,Ceramic magnet,C - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
13,ChemRaz (FFKM),D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
14,Copper,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
15,CPVC,C1 - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
16,EPDM,C - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
17,Epoxy,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
18,Fluorocarbon (FKM),A - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
19,Hastelloy-C®,C - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
20,Hypalon®,C - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
21,Hytrel®,N/A,"Aqua Regia (80% HCl, 20% HNO3)"
22,Kalrez,A - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
23,Kel-F®,A - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
24,LDPE,B1 - Good,"Aqua Regia (80% HCl, 20% HNO3)"
25,Natural rubber,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
26,Neoprene,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
27,NORYL®,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
28,Nylon,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
29,Polycarbonate,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
30,Polyetherether Ketone (PEEK),D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
31,Polypropylene,B1 - Good,"Aqua Regia (80% HCl, 20% HNO3)"
32,Polyurethane,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
33,PPS (Ryton®),D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
34,PTFE,A - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
35,PVC,C1 - Fair,"Aqua Regia (80% HCl, 20% HNO3)"
36,PVDF (Kynar®),A2 - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
37,Silicone,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
38,stainless steel - 304,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
39,stainless steel - 316,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
40,Titanium,A1 - Excellent,"Aqua Regia (80% HCl, 20% HNO3)"
41,Tygon®,D - Poor,"Aqua Regia (80% HCl, 20% HNO3)"
42,Viton®,B - Good,"Aqua Regia (80% HCl, 20% HNO3)"
