,material,compatibility,chemical
0,,,Arochlor 1248
1,ABS plastic,N/A,Arochlor 1248
2,Acetal (Delrin®),N/A,Arochlor 1248
3,Aluminum,A - Excellent,Arochlor 1248
4,Brass,A1 - Excellent,Arochlor 1248
5,Bronze,A - Excellent,Arochlor 1248
6,Buna N (Nitrile),C1 - Fair,Arochlor 1248
7,Carbon graphite,N/A,Arochlor 1248
8,Carbon Steel,N/A,Arochlor 1248
9,Carpenter 20,N/A,Arochlor 1248
10,Cast iron,B - Good,Arochlor 1248
11,Ceramic Al203,N/A,Arochlor 1248
12,Ceramic magnet,N/A,Arochlor 1248
13,ChemRaz (FFKM),A - Excellent,Arochlor 1248
14,Copper,N/A,Arochlor 1248
15,CPVC,N/A,Arochlor 1248
16,EPDM,B - Good,Arochlor 1248
17,Epoxy,A2 - Excellent,Arochlor 1248
18,Fluorocarbon (FKM),A - Excellent,Arochlor 1248
19,Hastelloy-C®,A - Excellent,Arochlor 1248
20,Hypalon®,D - Poor,Arochlor 1248
21,Hytrel®,C1 - Fair,Arochlor 1248
22,Kalrez,A - Excellent,Arochlor 1248
23,Kel-F®,A1 - Excellent,Arochlor 1248
24,LDPE,C1 - Fair,Arochlor 1248
25,Natural rubber,D - Poor,Arochlor 1248
26,Neoprene,D - Poor,Arochlor 1248
27,NORYL®,N/A,Arochlor 1248
28,Nylon,A1 - Excellent,Arochlor 1248
29,Polycarbonate,N/A,Arochlor 1248
30,Polyetherether Ketone (PEEK),A - Excellent,Arochlor 1248
31,Polypropylene,D - Poor,Arochlor 1248
32,Polyurethane,B - Good,Arochlor 1248
33,PPS (Ryton®),N/A,Arochlor 1248
34,PTFE,A - Excellent,Arochlor 1248
35,PVC,N/A,Arochlor 1248
36,PVDF (Kynar®),N/A,Arochlor 1248
37,Silicone,B - Good,Arochlor 1248
38,stainless steel - 304,B - Good,Arochlor 1248
39,stainless steel - 316,B - Good,Arochlor 1248
40,Titanium,A1 - Excellent,Arochlor 1248
41,Tygon®,N/A,Arochlor 1248
42,Viton®,A - Excellent,Arochlor 1248
