,material,compatibility,chemical
0,,,Aromatic Hydrocarbons
1,ABS plastic,N/A,Aromatic Hydrocarbons
2,Acetal (Delrin®),A - Excellent,Aromatic Hydrocarbons
3,Aluminum,A - Excellent,Aromatic Hydrocarbons
4,Brass,N/A,Aromatic Hydrocarbons
5,Bronze,C - Fair,Aromatic Hydrocarbons
6,Buna N (Nitrile),D - Poor,Aromatic Hydrocarbons
7,Carbon graphite,N/A,Aromatic Hydrocarbons
8,Carbon Steel,N/A,Aromatic Hydrocarbons
9,Carpenter 20,N/A,Aromatic Hydrocarbons
10,Cast iron,A - Excellent,Aromatic Hydrocarbons
11,Ceramic Al203,N/A,Aromatic Hydrocarbons
12,Ceramic magnet,N/A,Aromatic Hydrocarbons
13,ChemRaz (FFKM),N/A,Aromatic Hydrocarbons
14,Copper,N/A,Aromatic Hydrocarbons
15,CPVC,D - Poor,Aromatic Hydrocarbons
16,EPDM,D - Poor,Aromatic Hydrocarbons
17,Epoxy,A - Excellent,Aromatic Hydrocarbons
18,Fluorocarbon (FKM),A - Excellent,Aromatic Hydrocarbons
19,Hastelloy-C®,N/A,Aromatic Hydrocarbons
20,Hypalon®,D - Poor,Aromatic Hydrocarbons
21,Hytrel®,C1 - Fair,Aromatic Hydrocarbons
22,Kalrez,A - Excellent,Aromatic Hydrocarbons
23,Kel-F®,N/A,Aromatic Hydrocarbons
24,LDPE,C - Fair,Aromatic Hydrocarbons
25,Natural rubber,D - Poor,Aromatic Hydrocarbons
26,Neoprene,D - Poor,Aromatic Hydrocarbons
27,NORYL®,D - Poor,Aromatic Hydrocarbons
28,Nylon,N/A,Aromatic Hydrocarbons
29,Polycarbonate,N/A,Aromatic Hydrocarbons
30,Polyetherether Ketone (PEEK),A - Excellent,Aromatic Hydrocarbons
31,Polypropylene,D - Poor,Aromatic Hydrocarbons
32,Polyurethane,D - Poor,Aromatic Hydrocarbons
33,PPS (Ryton®),N/A,Aromatic Hydrocarbons
34,PTFE,N/A,Aromatic Hydrocarbons
35,PVC,D - Poor,Aromatic Hydrocarbons
36,PVDF (Kynar®),N/A,Aromatic Hydrocarbons
37,Silicone,D - Poor,Aromatic Hydrocarbons
38,stainless steel - 304,N/A,Aromatic Hydrocarbons
39,stainless steel - 316,C - Fair,Aromatic Hydrocarbons
40,Titanium,N/A,Aromatic Hydrocarbons
41,Tygon®,N/A,Aromatic Hydrocarbons
42,Viton®,A - Excellent,Aromatic Hydrocarbons
