,material,compatibility,chemical
0,,,Arsenic Acid
1,ABS plastic,A2 - Excellent,Arsenic Acid
2,Acetal (Delrin®),D - Poor,Arsenic Acid
3,Aluminum,D - Poor,Arsenic Acid
4,Brass,D - Poor,Arsenic Acid
5,Bronze,B - Good,Arsenic Acid
6,Buna N (Nitrile),A2 - Excellent,Arsenic Acid
7,Carbon graphite,A - Excellent,Arsenic Acid
8,Carbon Steel,D - Poor,Arsenic Acid
9,Carpenter 20,A1 - Excellent,Arsenic Acid
10,Cast iron,D - Poor,Arsenic Acid
11,Ceramic Al203,N/A,Arsenic Acid
12,Ceramic magnet,N/A,Arsenic Acid
13,ChemRaz (FFKM),A - Excellent,Arsenic Acid
14,Copper,A - Excellent,Arsenic Acid
15,CPVC,A1 - Excellent,Arsenic Acid
16,EPDM,A2 - Excellent,Arsenic Acid
17,Epoxy,A2 - Excellent,Arsenic Acid
18,Fluorocarbon (FKM),A - Excellent,Arsenic Acid
19,Hastelloy-C®,B - Good,Arsenic Acid
20,Hypalon®,A - Excellent,Arsenic Acid
21,Hytrel®,N/A,Arsenic Acid
22,Kalrez,A - Excellent,Arsenic Acid
23,Kel-F®,N/A,Arsenic Acid
24,LDPE,B2 - Good,Arsenic Acid
25,Natural rubber,B - Good,Arsenic Acid
26,Neoprene,A - Excellent,Arsenic Acid
27,NORYL®,A1 - Excellent,Arsenic Acid
28,Nylon,C1 - Fair,Arsenic Acid
29,Polycarbonate,A1 - Excellent,Arsenic Acid
30,Polyetherether Ketone (PEEK),N/A,Arsenic Acid
31,Polypropylene,A - Excellent,Arsenic Acid
32,Polyurethane,C - Fair,Arsenic Acid
33,PPS (Ryton®),A - Excellent,Arsenic Acid
34,PTFE,A - Excellent,Arsenic Acid
35,PVC,A1 - Excellent,Arsenic Acid
36,PVDF (Kynar®),A - Excellent,Arsenic Acid
37,Silicone,A - Excellent,Arsenic Acid
38,stainless steel - 304,A2 - Excellent,Arsenic Acid
39,stainless steel - 316,A2 - Excellent,Arsenic Acid
40,Titanium,B - Good,Arsenic Acid
41,Tygon®,B - Good,Arsenic Acid
42,Viton®,A2 - Excellent,Arsenic Acid
