,material,compatibility,chemical
0,,,Arsenic Salts
1,ABS plastic,N/A,Arsenic Salts
2,Acetal (Delrin®),N/A,Arsenic Salts
3,Aluminum,N/A,Arsenic Salts
4,Brass,N/A,Arsenic Salts
5,Bronze,N/A,Arsenic Salts
6,Buna N (Nitrile),N/A,Arsenic Salts
7,Carbon graphite,N/A,Arsenic Salts
8,Carbon Steel,N/A,Arsenic Salts
9,Carpenter 20,N/A,Arsenic Salts
10,Cast iron,N/A,Arsenic Salts
11,Ceramic Al203,N/A,Arsenic Salts
12,Ceramic magnet,N/A,Arsenic Salts
13,ChemRaz (FFKM),N/A,Arsenic Salts
14,Copper,N/A,Arsenic Salts
15,CPVC,N/A,Arsenic Salts
16,EPDM,N/A,Arsenic Salts
17,Epoxy,N/A,Arsenic Salts
18,Fluorocarbon (FKM),B - Good,Arsenic Salts
19,Hastelloy-C®,N/A,Arsenic Salts
20,Hypalon®,N/A,Arsenic Salts
21,Hytrel®,B1 - Good,Arsenic Salts
22,Kalrez,N/A,Arsenic Salts
23,Kel-F®,N/A,Arsenic Salts
24,LDPE,B - Good,Arsenic Salts
25,Natural rubber,N/A,Arsenic Salts
26,Neoprene,N/A,Arsenic Salts
27,NORYL®,N/A,Arsenic Salts
28,Nylon,A - Excellent,Arsenic Salts
29,Polycarbonate,N/A,Arsenic Salts
30,Polyetherether Ketone (PEEK),N/A,Arsenic Salts
31,Polypropylene,N/A,Arsenic Salts
32,Polyurethane,B - Good,Arsenic Salts
33,PPS (Ryton®),N/A,Arsenic Salts
34,PTFE,N/A,Arsenic Salts
35,PVC,A - Excellent,Arsenic Salts
36,PVDF (Kynar®),N/A,Arsenic Salts
37,Silicone,N/A,Arsenic Salts
38,stainless steel - 304,N/A,Arsenic Salts
39,stainless steel - 316,N/A,Arsenic Salts
40,Titanium,N/A,Arsenic Salts
41,Tygon®,A - Excellent,Arsenic Salts
42,Viton®,A - Excellent,Arsenic Salts
