,material,compatibility,chemical
0,,,Asphalt
1,ABS plastic,N/A,Asphalt
2,Acetal (Delrin®),B2 - Good,Asphalt
3,Aluminum,A - Excellent,Asphalt
4,Brass,B1 - Good,Asphalt
5,Bronze,A1 - Excellent,Asphalt
6,Buna N (Nitrile),B - Good,Asphalt
7,Carbon graphite,A - Excellent,Asphalt
8,Carbon Steel,B - Good,Asphalt
9,Carpenter 20,A - Excellent,Asphalt
10,Cast iron,A - Excellent,Asphalt
11,Ceramic Al203,N/A,Asphalt
12,Ceramic magnet,N/A,Asphalt
13,ChemRaz (FFKM),A - Excellent,Asphalt
14,Copper,A - Excellent,Asphalt
15,CPVC,A2 - Excellent,Asphalt
16,EPDM,D - Poor,Asphalt
17,Epoxy,A - Excellent,Asphalt
18,Fluorocarbon (FKM),A - Excellent,Asphalt
19,Hastelloy-C®,N/A,Asphalt
20,Hypalon®,D - Poor,Asphalt
21,Hytrel®,B1 - Good,Asphalt
22,Kalrez,N/A,Asphalt
23,Kel-F®,A - Excellent,Asphalt
24,LDPE,A1 - Excellent,Asphalt
25,Natural rubber,D - Poor,Asphalt
26,Neoprene,D - Poor,Asphalt
27,NORYL®,N/A,Asphalt
28,Nylon,A - Excellent,Asphalt
29,Polycarbonate,D - Poor,Asphalt
30,Polyetherether Ketone (PEEK),A - Excellent,Asphalt
31,Polypropylene,B1 - Good,Asphalt
32,Polyurethane,B - Good,Asphalt
33,PPS (Ryton®),A - Excellent,Asphalt
34,PTFE,A1 - Excellent,Asphalt
35,PVC,A2 - Excellent,Asphalt
36,PVDF (Kynar®),A - Excellent,Asphalt
37,Silicone,D - Poor,Asphalt
38,stainless steel - 304,B - Good,Asphalt
39,stainless steel - 316,A - Excellent,Asphalt
40,Titanium,N/A,Asphalt
41,Tygon®,N/A,Asphalt
42,Viton®,A - Excellent,Asphalt
