,material,compatibility,chemical
0,,,Barium Carbonate
1,ABS plastic,N/A,Barium Carbonate
2,Acetal (Delrin®),B2 - Good,Barium Carbonate
3,Aluminum,A - Excellent,Barium Carbonate
4,Brass,B1 - Good,Barium Carbonate
5,Bronze,A1 - Excellent,Barium Carbonate
6,Buna N (Nitrile),B - Good,Barium Carbonate
7,Carbon graphite,A - Excellent,Barium Carbonate
8,Carbon Steel,B - Good,Barium Carbonate
9,Carpenter 20,A - Excellent,Barium Carbonate
10,Cast iron,A - Excellent,Barium Carbonate
11,Ceramic Al203,N/A,Barium Carbonate
12,Ceramic magnet,N/A,Barium Carbonate
13,ChemRaz (FFKM),A - Excellent,Barium Carbonate
14,Copper,A - Excellent,Barium Carbonate
15,CPVC,A2 - Excellent,Barium Carbonate
16,EPDM,D - Poor,Barium Carbonate
17,Epoxy,A - Excellent,Barium Carbonate
18,Fluorocarbon (FKM),A - Excellent,Barium Carbonate
19,Hastelloy-C®,N/A,Barium Carbonate
20,Hypalon®,D - Poor,Barium Carbonate
21,Hytrel®,B1 - Good,Barium Carbonate
22,Kalrez,N/A,Barium Carbonate
23,Kel-F®,A - Excellent,Barium Carbonate
24,LDPE,A1 - Excellent,Barium Carbonate
25,Natural rubber,D - Poor,Barium Carbonate
26,Neoprene,D - Poor,Barium Carbonate
27,NORYL®,N/A,Barium Carbonate
28,Nylon,A - Excellent,Barium Carbonate
29,Polycarbonate,D - Poor,Barium Carbonate
30,Polyetherether Ketone (PEEK),A - Excellent,Barium Carbonate
31,Polypropylene,B1 - Good,Barium Carbonate
32,Polyurethane,B - Good,Barium Carbonate
33,PPS (Ryton®),A - Excellent,Barium Carbonate
34,PTFE,A1 - Excellent,Barium Carbonate
35,PVC,A2 - Excellent,Barium Carbonate
36,PVDF (Kynar®),A - Excellent,Barium Carbonate
37,Silicone,D - Poor,Barium Carbonate
38,stainless steel - 304,B - Good,Barium Carbonate
39,stainless steel - 316,A - Excellent,Barium Carbonate
40,Titanium,N/A,Barium Carbonate
41,Tygon®,N/A,Barium Carbonate
42,Viton®,A - Excellent,Barium Carbonate
