,material,compatibility,chemical
0,,,Barium Cyanide
1,ABS plastic,N/A,Barium Cyanide
2,Acetal (Delrin®),B - Good,Barium Cyanide
3,Aluminum,C1 - Fair,Barium Cyanide
4,Brass,C1 - Fair,Barium Cyanide
5,Bronze,C - Fair,Barium Cyanide
6,Buna N (Nitrile),C - Fair,Barium Cyanide
7,Carbon graphite,N/A,Barium Cyanide
8,Carbon Steel,B - Good,Barium Cyanide
9,Carpenter 20,A1 - Excellent,Barium Cyanide
10,Cast iron,C1 - Fair,Barium Cyanide
11,Ceramic Al203,N/A,Barium Cyanide
12,Ceramic magnet,N/A,Barium Cyanide
13,ChemRaz (FFKM),A - Excellent,Barium Cyanide
14,Copper,D - Poor,Barium Cyanide
15,CPVC,D - Poor,Barium Cyanide
16,EPDM,A - Excellent,Barium Cyanide
17,Epoxy,A - Excellent,Barium Cyanide
18,Fluorocarbon (FKM),A - Excellent,Barium Cyanide
19,Hastelloy-C®,A - Excellent,Barium Cyanide
20,Hypalon®,A - Excellent,Barium Cyanide
21,Hytrel®,N/A,Barium Cyanide
22,Kalrez,A - Excellent,Barium Cyanide
23,Kel-F®,N/A,Barium Cyanide
24,LDPE,B - Good,Barium Cyanide
25,Natural rubber,N/A,Barium Cyanide
26,Neoprene,C - Fair,Barium Cyanide
27,NORYL®,N/A,Barium Cyanide
28,Nylon,A1 - Excellent,Barium Cyanide
29,Polycarbonate,N/A,Barium Cyanide
30,Polyetherether Ketone (PEEK),N/A,Barium Cyanide
31,Polypropylene,D - Poor,Barium Cyanide
32,Polyurethane,N/A,Barium Cyanide
33,PPS (Ryton®),N/A,Barium Cyanide
34,PTFE,A1 - Excellent,Barium Cyanide
35,PVC,D - Poor,Barium Cyanide
36,PVDF (Kynar®),N/A,Barium Cyanide
37,Silicone,N/A,Barium Cyanide
38,stainless steel - 304,A1 - Excellent,Barium Cyanide
39,stainless steel - 316,A2 - Excellent,Barium Cyanide
40,Titanium,N/A,Barium Cyanide
41,Tygon®,N/A,Barium Cyanide
42,Viton®,A - Excellent,Barium Cyanide
