,material,compatibility,chemical
0,,,Barium Nitrate
1,ABS plastic,N/A,Barium Nitrate
2,Acetal (Delrin®),B2 - Good,Barium Nitrate
3,Aluminum,B - Good,Barium Nitrate
4,Brass,D - Poor,Barium Nitrate
5,Bronze,D - Poor,Barium Nitrate
6,Buna N (Nitrile),A2 - Excellent,Barium Nitrate
7,Carbon graphite,A - Excellent,Barium Nitrate
8,Carbon Steel,C - Fair,Barium Nitrate
9,Carpenter 20,B - Good,Barium Nitrate
10,Cast iron,A - Excellent,Barium Nitrate
11,Ceramic Al203,N/A,Barium Nitrate
12,Ceramic magnet,N/A,Barium Nitrate
13,ChemRaz (FFKM),A - Excellent,Barium Nitrate
14,Copper,B - Good,Barium Nitrate
15,CPVC,A - Excellent,Barium Nitrate
16,EPDM,A - Excellent,Barium Nitrate
17,Epoxy,A1 - Excellent,Barium Nitrate
18,Fluorocarbon (FKM),A - Excellent,Barium Nitrate
19,Hastelloy-C®,N/A,Barium Nitrate
20,Hypalon®,N/A,Barium Nitrate
21,Hytrel®,N/A,Barium Nitrate
22,Kalrez,A - Excellent,Barium Nitrate
23,Kel-F®,A - Excellent,Barium Nitrate
24,LDPE,B2 - Good,Barium Nitrate
25,Natural rubber,N/A,Barium Nitrate
26,Neoprene,A - Excellent,Barium Nitrate
27,NORYL®,A - Excellent,Barium Nitrate
28,Nylon,A1 - Excellent,Barium Nitrate
29,Polycarbonate,D - Poor,Barium Nitrate
30,Polyetherether Ketone (PEEK),N/A,Barium Nitrate
31,Polypropylene,A - Excellent,Barium Nitrate
32,Polyurethane,B - Good,Barium Nitrate
33,PPS (Ryton®),N/A,Barium Nitrate
34,PTFE,A1 - Excellent,Barium Nitrate
35,PVC,A - Excellent,Barium Nitrate
36,PVDF (Kynar®),N/A,Barium Nitrate
37,Silicone,B - Good,Barium Nitrate
38,stainless steel - 304,B1 - Good,Barium Nitrate
39,stainless steel - 316,B - Good,Barium Nitrate
40,Titanium,A - Excellent,Barium Nitrate
41,Tygon®,N/A,Barium Nitrate
42,Viton®,A - Excellent,Barium Nitrate
