,material,compatibility,chemical
0,,,Barium Sulfate
1,ABS plastic,A2 - Excellent,Barium Sulfate
2,Acetal (Delrin®),B2 - Good,Barium Sulfate
3,Aluminum,B - Good,Barium Sulfate
4,Brass,B - Good,Barium Sulfate
5,Bronze,C - Fair,Barium Sulfate
6,Buna N (Nitrile),A - Excellent,Barium Sulfate
7,Carbon graphite,A - Excellent,Barium Sulfate
8,Carbon Steel,A - Excellent,Barium Sulfate
9,Carpenter 20,B - Good,Barium Sulfate
10,Cast iron,B - Good,Barium Sulfate
11,Ceramic Al203,A - Excellent,Barium Sulfate
12,Ceramic magnet,A - Excellent,Barium Sulfate
13,ChemRaz (FFKM),A - Excellent,Barium Sulfate
14,Copper,B - Good,Barium Sulfate
15,CPVC,B1 - Good,Barium Sulfate
16,EPDM,A - Excellent,Barium Sulfate
17,Epoxy,A2 - Excellent,Barium Sulfate
18,Fluorocarbon (FKM),A - Excellent,Barium Sulfate
19,Hastelloy-C®,A - Excellent,Barium Sulfate
20,Hypalon®,A - Excellent,Barium Sulfate
21,Hytrel®,D - Poor,Barium Sulfate
22,Kalrez,A - Excellent,Barium Sulfate
23,Kel-F®,A - Excellent,Barium Sulfate
24,LDPE,B2 - Good,Barium Sulfate
25,Natural rubber,A - Excellent,Barium Sulfate
26,Neoprene,A - Excellent,Barium Sulfate
27,NORYL®,A1 - Excellent,Barium Sulfate
28,Nylon,A1 - Excellent,Barium Sulfate
29,Polycarbonate,D - Poor,Barium Sulfate
30,Polyetherether Ketone (PEEK),N/A,Barium Sulfate
31,Polypropylene,B1 - Good,Barium Sulfate
32,Polyurethane,A - Excellent,Barium Sulfate
33,PPS (Ryton®),A - Excellent,Barium Sulfate
34,PTFE,A - Excellent,Barium Sulfate
35,PVC,B1 - Good,Barium Sulfate
36,PVDF (Kynar®),A - Excellent,Barium Sulfate
37,Silicone,A - Excellent,Barium Sulfate
38,stainless steel - 304,B1 - Good,Barium Sulfate
39,stainless steel - 316,B1 - Good,Barium Sulfate
40,Titanium,B - Good,Barium Sulfate
41,Tygon®,N/A,Barium Sulfate
42,Viton®,A - Excellent,Barium Sulfate
