,material,compatibility,chemical
0,,,Barium Sulfide
1,ABS plastic,A2 - Excellent,Barium Sulfide
2,Acetal (Delrin®),A - Excellent,Barium Sulfide
3,Aluminum,D - Poor,Barium Sulfide
4,Brass,D - Poor,Barium Sulfide
5,Bronze,D - Poor,Barium Sulfide
6,Buna N (Nitrile),A - Excellent,Barium Sulfide
7,Carbon graphite,A - Excellent,Barium Sulfide
8,Carbon Steel,D - Poor,Barium Sulfide
9,Carpenter 20,A1 - Excellent,Barium Sulfide
10,Cast iron,D - Poor,Barium Sulfide
11,Ceramic Al203,A - Excellent,Barium Sulfide
12,Ceramic magnet,A - Excellent,Barium Sulfide
13,ChemRaz (FFKM),A - Excellent,Barium Sulfide
14,Copper,D - Poor,Barium Sulfide
15,CPVC,A2 - Excellent,Barium Sulfide
16,EPDM,A - Excellent,Barium Sulfide
17,Epoxy,B2 - Good,Barium Sulfide
18,Fluorocarbon (FKM),A - Excellent,Barium Sulfide
19,Hastelloy-C®,N/A,Barium Sulfide
20,Hypalon®,A - Excellent,Barium Sulfide
21,Hytrel®,N/A,Barium Sulfide
22,Kalrez,A - Excellent,Barium Sulfide
23,Kel-F®,N/A,Barium Sulfide
24,LDPE,B2 - Good,Barium Sulfide
25,Natural rubber,A - Excellent,Barium Sulfide
26,Neoprene,A - Excellent,Barium Sulfide
27,NORYL®,A2 - Excellent,Barium Sulfide
28,Nylon,A1 - Excellent,Barium Sulfide
29,Polycarbonate,N/A,Barium Sulfide
30,Polyetherether Ketone (PEEK),A - Excellent,Barium Sulfide
31,Polypropylene,B - Good,Barium Sulfide
32,Polyurethane,A - Excellent,Barium Sulfide
33,PPS (Ryton®),N/A,Barium Sulfide
34,PTFE,A - Excellent,Barium Sulfide
35,PVC,A2 - Excellent,Barium Sulfide
36,PVDF (Kynar®),A - Excellent,Barium Sulfide
37,Silicone,A - Excellent,Barium Sulfide
38,stainless steel - 304,B1 - Good,Barium Sulfide
39,stainless steel - 316,B2 - Good,Barium Sulfide
40,Titanium,A - Excellent,Barium Sulfide
41,Tygon®,N/A,Barium Sulfide
42,Viton®,A - Excellent,Barium Sulfide
