,material,compatibility,chemical
0,,,Beer
1,ABS plastic,A2 - Excellent,Beer
2,Acetal (Delrin®),A1 - Excellent,Beer
3,Aluminum,A - Excellent,Beer
4,Brass,B - Good,Beer
5,Bronze,A1 - Excellent,Beer
6,Buna N (Nitrile),A - Excellent,Beer
7,Carbon graphite,A - Excellent,Beer
8,Carbon Steel,C - Fair,Beer
9,Carpenter 20,A - Excellent,Beer
10,Cast iron,D - Poor,Beer
11,Ceramic Al203,N/A,Beer
12,Ceramic magnet,A - Excellent,Beer
13,ChemRaz (FFKM),N/A,Beer
14,Copper,B - Good,Beer
15,CPVC,A2 - Excellent,Beer
16,EPDM,A - Excellent,Beer
17,Epoxy,A2 - Excellent,Beer
18,Fluorocarbon (FKM),A - Excellent,Beer
19,Hastelloy-C®,A1 - Excellent,Beer
20,Hypalon®,A - Excellent,Beer
21,Hytrel®,A1 - Excellent,Beer
22,Kalrez,A - Excellent,Beer
23,Kel-F®,A - Excellent,Beer
24,LDPE,A2 - Excellent,Beer
25,Natural rubber,A - Excellent,Beer
26,Neoprene,A - Excellent,Beer
27,NORYL®,A1 - Excellent,Beer
28,Nylon,A1 - Excellent,Beer
29,Polycarbonate,A2 - Excellent,Beer
30,Polyetherether Ketone (PEEK),A - Excellent,Beer
31,Polypropylene,A1 - Excellent,Beer
32,Polyurethane,D - Poor,Beer
33,PPS (Ryton®),A2 - Excellent,Beer
34,PTFE,A - Excellent,Beer
35,PVC,A2 - Excellent,Beer
36,PVDF (Kynar®),A - Excellent,Beer
37,Silicone,A - Excellent,Beer
38,stainless steel - 304,A - Excellent,Beer
39,stainless steel - 316,A - Excellent,Beer
40,Titanium,B - Good,Beer
41,Tygon®,C - Fair,Beer
42,Viton®,A - Excellent,Beer
