,material,compatibility,chemical
0,,,Beet Sugar Liquids
1,ABS plastic,B - Good,Beet Sugar Liquids
2,Acetal (Delrin®),B - Good,Beet Sugar Liquids
3,Aluminum,A - Excellent,Beet Sugar Liquids
4,Brass,N/A,Beet Sugar Liquids
5,Bronze,C - Fair,Beet Sugar Liquids
6,Buna N (Nitrile),A - Excellent,Beet Sugar Liquids
7,Carbon graphite,A - Excellent,Beet Sugar Liquids
8,Carbon Steel,B - Good,Beet Sugar Liquids
9,Carpenter 20,A - Excellent,Beet Sugar Liquids
10,Cast iron,A - Excellent,Beet Sugar Liquids
11,Ceramic Al203,N/A,Beet Sugar Liquids
12,Ceramic magnet,N/A,Beet Sugar Liquids
13,ChemRaz (FFKM),A - Excellent,Beet Sugar Liquids
14,Copper,A - Excellent,Beet Sugar Liquids
15,CPVC,A2 - Excellent,Beet Sugar Liquids
16,EPDM,A - Excellent,Beet Sugar Liquids
17,Epoxy,A1 - Excellent,Beet Sugar Liquids
18,Fluorocarbon (FKM),A - Excellent,Beet Sugar Liquids
19,Hastelloy-C®,N/A,Beet Sugar Liquids
20,Hypalon®,A - Excellent,Beet Sugar Liquids
21,Hytrel®,N/A,Beet Sugar Liquids
22,Kalrez,A - Excellent,Beet Sugar Liquids
23,Kel-F®,A - Excellent,Beet Sugar Liquids
24,LDPE,A1 - Excellent,Beet Sugar Liquids
25,Natural rubber,A - Excellent,Beet Sugar Liquids
26,Neoprene,A - Excellent,Beet Sugar Liquids
27,NORYL®,A - Excellent,Beet Sugar Liquids
28,Nylon,A - Excellent,Beet Sugar Liquids
29,Polycarbonate,N/A,Beet Sugar Liquids
30,Polyetherether Ketone (PEEK),N/A,Beet Sugar Liquids
31,Polypropylene,A1 - Excellent,Beet Sugar Liquids
32,Polyurethane,N/A,Beet Sugar Liquids
33,PPS (Ryton®),N/A,Beet Sugar Liquids
34,PTFE,A1 - Excellent,Beet Sugar Liquids
35,PVC,A2 - Excellent,Beet Sugar Liquids
36,PVDF (Kynar®),A - Excellent,Beet Sugar Liquids
37,Silicone,A - Excellent,Beet Sugar Liquids
38,stainless steel - 304,A - Excellent,Beet Sugar Liquids
39,stainless steel - 316,A - Excellent,Beet Sugar Liquids
40,Titanium,A - Excellent,Beet Sugar Liquids
41,Tygon®,N/A,Beet Sugar Liquids
42,Viton®,A - Excellent,Beet Sugar Liquids
