,material,compatibility,chemical
0,,,Benzene Sulfonic Acid
1,ABS plastic,N/A,Benzene Sulfonic Acid
2,Acetal (Delrin®),N/A,Benzene Sulfonic Acid
3,Aluminum,D - Poor,Benzene Sulfonic Acid
4,Brass,N/A,Benzene Sulfonic Acid
5,Bronze,N/A,Benzene Sulfonic Acid
6,Buna N (Nitrile),D - Poor,Benzene Sulfonic Acid
7,Carbon graphite,A - Excellent,Benzene Sulfonic Acid
8,Carbon Steel,D - Poor,Benzene Sulfonic Acid
9,Carpenter 20,A - Excellent,Benzene Sulfonic Acid
10,Cast iron,N/A,Benzene Sulfonic Acid
11,Ceramic Al203,A - Excellent,Benzene Sulfonic Acid
12,Ceramic magnet,N/A,Benzene Sulfonic Acid
13,ChemRaz (FFKM),N/A,Benzene Sulfonic Acid
14,Copper,N/A,Benzene Sulfonic Acid
15,CPVC,D - Poor,Benzene Sulfonic Acid
16,EPDM,D - Poor,Benzene Sulfonic Acid
17,Epoxy,B - Good,Benzene Sulfonic Acid
18,Fluorocarbon (FKM),D - Poor,Benzene Sulfonic Acid
19,Hastelloy-C®,B - Good,Benzene Sulfonic Acid
20,Hypalon®,N/A,Benzene Sulfonic Acid
21,Hytrel®,B - Good,Benzene Sulfonic Acid
22,Kalrez,A - Excellent,Benzene Sulfonic Acid
23,Kel-F®,N/A,Benzene Sulfonic Acid
24,LDPE,A1 - Excellent,Benzene Sulfonic Acid
25,Natural rubber,A - Excellent,Benzene Sulfonic Acid
26,Neoprene,A - Excellent,Benzene Sulfonic Acid
27,NORYL®,A - Excellent,Benzene Sulfonic Acid
28,Nylon,D - Poor,Benzene Sulfonic Acid
29,Polycarbonate,D - Poor,Benzene Sulfonic Acid
30,Polyetherether Ketone (PEEK),D - Poor,Benzene Sulfonic Acid
31,Polypropylene,D - Poor,Benzene Sulfonic Acid
32,Polyurethane,D - Poor,Benzene Sulfonic Acid
33,PPS (Ryton®),A - Excellent,Benzene Sulfonic Acid
34,PTFE,A - Excellent,Benzene Sulfonic Acid
35,PVC,A - Excellent,Benzene Sulfonic Acid
36,PVDF (Kynar®),N/A,Benzene Sulfonic Acid
37,Silicone,D - Poor,Benzene Sulfonic Acid
38,stainless steel - 304,B - Good,Benzene Sulfonic Acid
39,stainless steel - 316,B - Good,Benzene Sulfonic Acid
40,Titanium,B - Good,Benzene Sulfonic Acid
41,Tygon®,B - Good,Benzene Sulfonic Acid
42,Viton®,A - Excellent,Benzene Sulfonic Acid
